id_sampling_point;date_sample_collection;precision_date;id_level_1;level_1_scale_obs;id_level_2;level_2_scale_obs;id_level_3;level_3_scale_obs;id_sample;acari_20;data_type;country_code;main_prog_name;additional_name;other_bfs;ab_araneae;araneae_01;araneae_05;diplura_20;diptera_01;isopoda_10;protura_20;diptera_l10;symphyla_20;ab_chilopoda;ab_diplopoda;chilopoda_10;chilopoda_20;diplopoda_10;diplopoda_20;hemiptera_01;opiliones_10;pauropoda_20;ab_coleoptera;ab_collembola;coleoptera_01;coleoptera_05;coleoptera_10;coleoptera_15;coleoptera_20;collembola_01;collembola_02;collembola_04;collembola_06;collembola_08;collembola_10;collembola_20;dermaptera_01;embioptera_10;palpigradi_20;psocoptera_01;ab_hymenoptera;coleoptera_l10;hymenoptera_01;hymenoptera_05;pseudoscorp_20;hymenoptera_l10;hymenoptera_number_taxa;ab_enchytreids_abundance;mesofauna_number_species;enchytreids_number_species;enchytreids_k_strategist_abundance;enchytreids_r_strategist_abundance;thysanoptera_01;acari_number_taxa;list_of_other_bfs;type_of_the_sample;soil_type_wrb;wrb_version;soil_taxonomy_version;soil_type_in_soil_taxonomy;name_local_soil_classification;soil_type_in_a_local_classification;ph_method;ph_mean;cec_mean;caco3;texture;texture_triangle;sand;sand_limit;silt;silt_limit;clay_limit;bottom_depth_of_top_layer;carbon_azote_ratio_mean;soc_mean;som_mean;soil_sample_depth;bulk_density;soil_analysis_sample_mass;soil_humidity;soil_total_depth;phosphorus_total;landuse_1_year_ago;landuse_2_years_ago;landuse_3_year_ago;landuse_4_year_ago;landuse_5_years_ago;landuse_6_years_ago;crop_1;crop_2;crop_3;farming_system;tillage_method;tillage_season;tillage_system;type_main_crop;tillage_depth;publication_year;project_acronym;project_name;reference_to_programme;contributor_name;contributor_email;contributor_instit;data_owner;dataset_title;literature_title;doi;journal_name;book_title;source_type;volume_number;scale_project;spacial_level;study_landuse;experimental_type;total_experiment_duration;experiment_duration_mean;date_start_experiment;date_end_experiment
2012-09-10_D_IT_MONACO_F_Caorle_4_NA_NA_P_1;date:2012-09-10T00:00:00:yyyy-MM-dd;D;Caorle_4;F;NA;NA;1;P;;1600;;IT;monaco;;300;0;0;0;0;0;0;0;0;200;100;0;100;0;0;0;0;0;0;100;2500;0;100;0;0;0;0;0;0;500;0;1200;800;0;0;0;0;0;600;0;0;0;0;0;;;;;;0;;other holometabola;;na;;;;;;;;;;;;19.5;;63.4;;;;;;;;;;;;;na;na;na;na;na;na;maize_corn_zea_mays;na;na;na;na;na;na;annual;NA;;MONACO;national network for monitoring the environmental effectiveness of cross compliance and the differential of competitiveness charged against agricultural enterprises;;Silvia Landi;silvia.landi@crea.gov.it;;CREA;;;;;;;;;;arable_land;;;;;
2001-10-08_D_IT_NA_F_Stuard_NA_NA_P_1;date:2001-10-08T00:00:00:yyyy-MM-dd;D;Stuard;F;NA;NA;1;P;;-99;;IT;na;;-99;0;0;0;-99;0;0;0;-99;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;-99;0;-99;0;0;0;0;0;0;0;0;0;0;0;0;-99;0;0;0;NA;;;;;;0;;larvae of other olometabola;;na;;;;;;;8.0;;;;;14.0;;54.0;;;;;;;;;;;;;na;na;na;na;na;na;wheat_triticum_aestivum;na;na;conventional_farming;na;na;na;annual;NA;;;;;Lorenzo D'avino;lorenzo.davino@crea.gov.it;;CREA;;;;;;;;;;arable_land;;;;;
2001-10-08_D_IT_NA_F_Stuard_NA_NA_P_2;date:2001-10-08T00:00:00:yyyy-MM-dd;D;Stuard;F;NA;NA;2;P;;-99;;IT;na;;-99;0;0;0;-99;0;0;0;-99;0;;0;0;0;0;0;0;0;0;0;NA;NA;-99;0;0;0;NA;NA;-99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;;;;;0;;larvae of other olometabola;;na;;;;;;;8.0;;;;;14.0;;54.0;;;;;;;;;;;;;na;na;na;na;na;na;wheat_triticum_aestivum;na;na;conventional_farming;na;na;na;annual;NA;;;;;Lorenzo D'avino;lorenzo.davino@crea.gov.it;;CREA;;;;;;;;;;arable_land;;;;;
2001-10-08_D_IT_NA_F_Stuard_NA_NA_P_3;date:2001-10-08T00:00:00:yyyy-MM-dd;D;Stuard;F;NA;NA;3;P;;-99;;IT;na;;-99;0;0;0;0;0;0;0;-99;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;-99;0;NA;-99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;;;;;0;;larvae of other olometabola;;na;;;;;;;8.0;;;;;14.0;;54.0;;;;;;;;;;;;;na;na;na;na;na;na;wheat_triticum_aestivum;na;na;conventional_farming;na;na;na;annual;NA;;;;;Lorenzo D'avino;lorenzo.davino@crea.gov.it;;CREA;;;;;;;;;;arable_land;;;;;
2003-04-16_D_IT_NA_F_cesa_NA_NA_NA_NA;date:2003-04-16T00:00:00:yyyy-MM-dd;D;cesa;F;NA;NA;NA;NA;;-99;;IT;na;;-99;0;0;0;-99;0;0;0;0;-99;0;0;0;0;0;0;0;0;0;0;NA;-99;0;0;0;0;0;0;0;0;0;-99;0;0;0;0;0;0;-99;0;0;0;0;0;;;;;;0;;other holometabola;;na;;;;;;;7.42;;;;;;;;;;;;;;;;;;;;na;na;na;na;na;na;mustard_cabbage_brown_indian_mustard_brassica_juncea;na;na;na;na;na;na;annual;NA;;;;;Lorenzo D'avino;lorenzo.davino@crea.gov.it;;CREA;;;;;;;;;;arable_land;;;;;
2005-01-01_Y_IT_Regional_monitoring_FVG_F_RADOVIC_S13_NA_NA_P_1;date:2005-01-01T00:00:00:yyyy-MM-dd;Y;RADOVIC_S13;F;NA;NA;1;P;;1600;Data Mesofauna;IT;regional_monitoring_fvg;;0;0;0;0;NA;NA;NA;400;NA;100;0;0;0;0;NA;0;100;NA;NA;200;900;NA;NA;NA;200;0;NA;NA;NA;NA;NA;NA;900;0;NA;NA;NA;0;0;NA;NA;NA;NA;NA;;;;;;NA;;;;na;;;;;;;;;;;;;;;;;;;;;;;;;;;na;na;na;na;na;na;no_crop;na;na;organic_farming;na;na;na;na;NA;;Regional_monitoring_FVG;Regional_monitoring_FVG;;Nicola Skert;nicola.skert@arpa.fvg.it;;ARPA FVG;;;;;;;;;;arable_land;;;;;
2005-01-01_Y_IT_Regional_monitoring_FVG_F_RADOVIC_S13_NA_NA_P_2;date:2005-01-01T00:00:00:yyyy-MM-dd;Y;RADOVIC_S13;F;NA;NA;2;P;;8000;Data Mesofauna;IT;regional_monitoring_fvg;;0;0;0;0;200;NA;NA;1300;NA;100;0;0;0;0;NA;0;100;NA;NA;200;2000;NA;NA;200;0;0;NA;NA;NA;NA;NA;NA;2000;0;NA;NA;NA;200;0;NA;200;NA;NA;NA;;;;;;NA;;;;na;;;;;;;;;;;;;;;;;;;;;;;;;;;na;na;na;na;na;na;no_crop;na;na;organic_farming;na;na;na;na;NA;;Regional_monitoring_FVG;Regional_monitoring_FVG;;Nicola Skert;nicola.skert@arpa.fvg.it;;ARPA FVG;;;;;;;;;;arable_land;;;;;
2005-01-01_Y_IT_Regional_monitoring_FVG_F_RADOVIC_S13_NA_NA_P_3;date:2005-01-01T00:00:00:yyyy-MM-dd;Y;RADOVIC_S13;F;NA;NA;3;P;;4000;Data Mesofauna;IT;regional_monitoring_fvg;;0;0;0;0;NA;NA;NA;NA;NA;100;0;0;0;0;NA;0;100;NA;NA;0;1700;0;0;0;0;0;NA;NA;NA;NA;NA;NA;1700;0;NA;NA;NA;0;0;NA;NA;NA;NA;NA;;;;;;NA;;;;na;;;;;;;;;;;;;;;;;;;;;;;;;;;na;na;na;na;na;na;no_crop;na;na;organic_farming;na;na;na;na;NA;;Regional_monitoring_FVG;Regional_monitoring_FVG;;Nicola Skert;nicola.skert@arpa.fvg.it;;ARPA FVG;;;;;;;;;;arable_land;;;;;
2005-01-01_Y_IT_Regional_monitoring_FVG_F_RADOVIC_S14_NA_NA_P_1;date:2005-01-01T00:00:00:yyyy-MM-dd;Y;RADOVIC_S14;F;NA;NA;1;P;;18000;Data Mesofauna;IT;regional_monitoring_fvg;;0;0;0;0;NA;NA;1100;100;500;100;0;0;0;0;NA;0;300;NA;100;200;20000;NA;NA;NA;200;0;NA;NA;NA;NA;NA;NA;20000;0;NA;NA;NA;3000;1500;NA;3000;NA;NA;NA;;;;;;NA;;;;na;;;;;;;;;;;;;;;;;;;;;;;;;;;na;na;na;na;na;na;na;na;na;na;na;na;na;na;NA;;Regional_monitoring_FVG;Regional_monitoring_FVG;;Nicola Skert;nicola.skert@arpa.fvg.it;;ARPA FVG;;;;;;;;;;grass_land;;;;;
2005-01-01_Y_IT_Regional_monitoring_FVG_F_RADOVIC_S14_NA_NA_P_2;date:2005-01-01T00:00:00:yyyy-MM-dd;Y;RADOVIC_S14;F;NA;NA;2;P;;20000;Data Mesofauna;IT;regional_monitoring_fvg;;0;0;0;0;NA;NA;500;100;1000;600;0;0;0;0;NA;0;1000;NA;600;200;15000;NA;NA;NA;200;0;NA;NA;NA;NA;NA;NA;15000;0;NA;NA;NA;7000;800;NA;7000;NA;NA;NA;;;;;;NA;;;;na;;;;;;;;;;;;;;;;;;;;;;;;;;;na;na;na;na;na;na;na;na;na;na;na;na;na;na;NA;;Regional_monitoring_FVG;Regional_monitoring_FVG;;Nicola Skert;nicola.skert@arpa.fvg.it;;ARPA FVG;;;;;;;;;;grass_land;;;;;
