id_sampling_point;date_sample_collection;precision_date;id_level_1;level_1_scale_obs;id_level_2;level_2_scale_obs;id_level_3;level_3_scale_obs;id_sample;data_type;country_code;main_prog_name;additional_name;total_nem_biomass;ab_fungivores;ab_herbivores;ab_Total_nematodes;nematode_family_richness;nematode_genera_richness;ab_bacterivores;ei;mi;mi2-5;nematods_si;ab_omnivores;ab_predators;ab_unident;microfauna_extraction_method;microfauna_sampling_methodology_iso;microfauna_sampling_observation_method;asmicrofauna_sampled_area_for_each_subsample;date_soil_sampling_for_chemical_analysis;type_of_the_sample;soil_type_wrb;wrb_version;soil_taxonomy_version;soil_type_in_soil_taxonomy;name_local_soil_classification;soil_type_in_a_local_classification;ph_method;ph_mean;cec_mean;caco3;texture;texture_triangle;sand;sand_limit;silt;silt_limit;clay_limit;bottom_depth_of_top_layer;carbon_azote_ratio_mean;soc_mean;som_mean;soil_sample_depth;bulk_density;soil_analysis_sample_mass;soil_humidity;soil_total_depth;phosphorus_total;phosphorus_available;potassium_available;nitrogen;organic_carbon;crop_1;crop_2;crop_3;crop_rotation;irrigat_water;tillage_depth;farming_system;grazing_method;tillage_method;tillage_season;tillage_system;type_main_crop;cropping_system;drainage_system;fertilizer_type;irrigation_type;livestock_breed;fertilization_method;insect_appli_rate;pest_control_type;landuse_1_year_ago;landuse_3_year_ago;landuse_4_year_ago;landuse_2_years_ago;landuse_5_years_ago;landuse_6_years_ago;miticide_appli_rate;total_plant_biomass;fungicide_appli_rate;herbicide_appli_rate;insect_pest_control_method;organic_matter_input;pest_control_method_microbioconsortia;nematicide_appli_rate;organic_matter_amount;bactericide_appli_rate;yield_of_sampling_year;fungicide_pest_control_method;herbicide_pest_control_method;molluscicide_appli_rate;nematicide_pest_control_method;pheromones_pest_control_method;single_inoculant_pest_control_method;bactericide_pest_control_method;molluscicid_pest_control_method;number_of_husbandry_animals;pest_control_metthod_miticide;soilsolariz_pest_control_method;publication_year;project_acronym;project_name;contributor_name;contributor_email;contributor_instit;data_owner;dataset_title;literature_title;doi;journal_name;book_title;source_type;volume_number;scale_project;spacial_level;upload_to_gbif;upload_to_other_databases;link_to_ncbi_or_other_database;date_start_experiment;date_end_experiment;longitude;latitude;altitude;study_landuse;experimental_type;total_experiment_duration;experiment_duration_mean;mean_temperature_of_the_day;source_of_climate_data;year_precipitation;air_humidity
1974-06-01-M_GB_Ordnance survey_F-1_B-NA_P-NA;date:1974-06-01T00:00:00:yyyy-MM-dd;M;1;F;NA;B;NA;P;1974-06-01-M_GB_Ordnance survey_F-1_B-NA_P-NA_Data Microfauna;Data Microfauna;GB;ordnance_survey;;;;;200;;;;;;NULL;;;;;Decanting and sieving;;composite sample;;;;;;;;;;na;5.3;;;na;;;;;;;;;;;15.0;;;29;;;;;;;;;;No;na;;na;na;na;na;na;perennial;grassland;na;na;na;na;na;;na;grass_land;grass_land;grass_land;grass_land;grass_land;grass_land;;;;;na;NA;na;;;;;na;na;;na;na;na;na;na;;na;na;1998;;British grassland survey;Maria Viketoft;maria.viketoft@slu.se;SLU;R Neilson, B Boag, DJF Brown;Neilson-British_grasslands-Nematodes-1974-1982;Nematodes from permanent pasture and scrubland in the UK;NA;NA;Nematode communities of northern temperate grassland ecosystems (eds. RGM de Goede & T Bongers);literature;;national;sample;No;No;;1974-06-01;1974-06-01;-5.282649;56.639854;15.0;grass_land;field;0;;;;;
1974-06-01-M_GB_Ordnance survey_F-2_B-NA_P-NA;date:1974-06-01T00:00:00:yyyy-MM-dd;M;2;F;NA;B;NA;P;1974-06-01-M_GB_Ordnance survey_F-2_B-NA_P-NA_Data Microfauna;Data Microfauna;GB;ordnance_survey;;;;;750;;;;;;NULL;;;;;Decanting and sieving;;composite sample;;;;;;;;;;na;6.0;;;loamy_sand;;74.0;;22.0;;;;;;;15.0;;;12;;;;;;;;;;No;na;;na;na;na;na;na;perennial;grassland;na;na;na;na;na;;na;grass_land;grass_land;grass_land;grass_land;grass_land;grass_land;;;;;na;NA;na;;;;;na;na;;na;na;na;na;na;;na;na;1998;;British grassland survey;Maria Viketoft;maria.viketoft@slu.se;SLU;R Neilson, B Boag, DJF Brown;Neilson-British_grasslands-Nematodes-1974-1982;Nematodes from permanent pasture and scrubland in the UK;NA;NA;Nematode communities of northern temperate grassland ecosystems (eds. RGM de Goede & T Bongers);literature;;national;sample;No;No;;1974-06-01;1974-06-01;-3.1552684;56.296837;46.0;grass_land;field;0;;;;;
1974-06-01-M_GB_Ordnance survey_F-3_B-NA_P-NA;date:1974-06-01T00:00:00:yyyy-MM-dd;M;3;F;NA;B;NA;P;1974-06-01-M_GB_Ordnance survey_F-3_B-NA_P-NA_Data Microfauna;Data Microfauna;GB;ordnance_survey;;;;;1250;;;;;;NULL;;;;;Decanting and sieving;;composite sample;;;;;;;;;;na;6.1;;;loam;;50.0;;30.0;;;;;;;15.0;;;12;;;;;;;;;;No;na;;na;na;na;na;na;perennial;grassland;na;na;na;na;na;;na;grass_land;grass_land;grass_land;grass_land;grass_land;grass_land;;;;;na;NA;na;;;;;na;na;;na;na;na;na;na;;na;na;1998;;British grassland survey;Maria Viketoft;maria.viketoft@slu.se;SLU;R Neilson, B Boag, DJF Brown;Neilson-British_grasslands-Nematodes-1974-1982;Nematodes from permanent pasture and scrubland in the UK;NA;NA;Nematode communities of northern temperate grassland ecosystems (eds. RGM de Goede & T Bongers);literature;;national;sample;No;No;;1974-06-01;1974-06-01;-3.142995;56.264606;41.0;grass_land;field;0;;;;;
1974-06-01-M_GB_Ordnance survey_F-4_B-NA_P-NA;date:1974-06-01T00:00:00:yyyy-MM-dd;M;4;F;NA;B;NA;P;1974-06-01-M_GB_Ordnance survey_F-4_B-NA_P-NA_Data Microfauna;Data Microfauna;GB;ordnance_survey;;;;;1400;;;;;;NULL;;;;;Decanting and sieving;;composite sample;;;;;;;;;;na;5.7;;;sandy_loam;;72.0;;20.0;;;;;;;15.0;;;13;;;;;;;;;;No;na;;na;na;na;na;na;perennial;grassland;na;na;na;na;na;;na;grass_land;grass_land;grass_land;grass_land;grass_land;grass_land;;;;;na;NA;na;;;;;na;na;;na;na;na;na;na;;na;na;1998;;British grassland survey;Maria Viketoft;maria.viketoft@slu.se;SLU;R Neilson, B Boag, DJF Brown;Neilson-British_grasslands-Nematodes-1974-1982;Nematodes from permanent pasture and scrubland in the UK;NA;NA;Nematode communities of northern temperate grassland ecosystems (eds. RGM de Goede & T Bongers);literature;;national;sample;No;No;;1974-06-01;1974-06-01;-3.1196373;56.23876;154.0;grass_land;field;0;;;;;
1974-06-01-M_GB_Ordnance survey_F-5_B-NA_P-NA;date:1974-06-01T00:00:00:yyyy-MM-dd;M;5;F;NA;B;NA;P;1974-06-01-M_GB_Ordnance survey_F-5_B-NA_P-NA_Data Microfauna;Data Microfauna;GB;ordnance_survey;;;;;450;;;;;;NULL;;;;;Decanting and sieving;;composite sample;;;;;;;;;;na;5.5;;;sandy_loam;;58.0;;24.0;;;;;;;15.0;;;13;;;;;;;;;;No;na;;na;na;na;na;na;perennial;grassland;na;na;na;na;na;;na;grass_land;grass_land;grass_land;grass_land;grass_land;grass_land;;;;;na;NA;na;;;;;na;na;;na;na;na;na;na;;na;na;1998;;British grassland survey;Maria Viketoft;maria.viketoft@slu.se;SLU;R Neilson, B Boag, DJF Brown;Neilson-British_grasslands-Nematodes-1974-1982;Nematodes from permanent pasture and scrubland in the UK;NA;NA;Nematode communities of northern temperate grassland ecosystems (eds. RGM de Goede & T Bongers);literature;;national;sample;No;No;;1974-06-01;1974-06-01;-3.088514;56.165363;61.0;grass_land;field;0;;;;;
1974-06-01-M_GB_Ordnance survey_F-6_B-NA_P-NA;date:1974-06-01T00:00:00:yyyy-MM-dd;M;6;F;NA;B;NA;P;1974-06-01-M_GB_Ordnance survey_F-6_B-NA_P-NA_Data Microfauna;Data Microfauna;GB;ordnance_survey;;;;;500;;;;;;NULL;;;;;Decanting and sieving;;composite sample;;;;;;;;;;na;4.4;;;sandy_loam;;66.0;;24.0;;;;;;;15.0;;;21;;;;;;;;;;No;na;;na;na;na;na;na;perennial;grassland;na;na;na;na;na;;na;grass_land;grass_land;grass_land;grass_land;grass_land;grass_land;;;;;na;NA;na;;;;;na;na;;na;na;na;na;na;;na;na;1998;;British grassland survey;Maria Viketoft;maria.viketoft@slu.se;SLU;R Neilson, B Boag, DJF Brown;Neilson-British_grasslands-Nematodes-1974-1982;Nematodes from permanent pasture and scrubland in the UK;NA;NA;Nematode communities of northern temperate grassland ecosystems (eds. RGM de Goede & T Bongers);literature;;national;sample;No;No;;1974-06-01;1974-06-01;-3.2079298;56.122025;92.0;grass_land;field;0;;;;;
1974-06-01-M_GB_Ordnance survey_F-7_B-NA_P-NA;date:1974-06-01T00:00:00:yyyy-MM-dd;M;7;F;NA;B;NA;P;1974-06-01-M_GB_Ordnance survey_F-7_B-NA_P-NA_Data Microfauna;Data Microfauna;GB;ordnance_survey;;;;;590;;;;;;NULL;;;;;Decanting and sieving;;composite sample;;;;;;;;;;na;6.5;;;sandy_loam;;74.0;;20.0;;;;;;;15.0;;;12;;;;;;;;;;No;na;;na;na;na;na;na;perennial;grassland;na;na;na;na;na;;na;grass_land;grass_land;grass_land;grass_land;grass_land;grass_land;;;;;na;NA;na;;;;;na;na;;na;na;na;na;na;;na;na;1998;;British grassland survey;Maria Viketoft;maria.viketoft@slu.se;SLU;R Neilson, B Boag, DJF Brown;Neilson-British_grasslands-Nematodes-1974-1982;Nematodes from permanent pasture and scrubland in the UK;NA;NA;Nematode communities of northern temperate grassland ecosystems (eds. RGM de Goede & T Bongers);literature;;national;sample;No;No;;1974-06-01;1974-06-01;-3.210046;56.08696;123.0;grass_land;field;0;;;;;
1974-06-01-M_GB_Ordnance survey_F-8_B-NA_P-NA;date:1974-06-01T00:00:00:yyyy-MM-dd;M;8;F;NA;B;NA;P;1974-06-01-M_GB_Ordnance survey_F-8_B-NA_P-NA_Data Microfauna;Data Microfauna;GB;ordnance_survey;;;;;510;;;;;;NULL;;;;;Decanting and sieving;;composite sample;;;;;;;;;;na;;;;loamy_sand;;78.0;;20.0;;;;;;;15.0;;;12;;;;;;;;;;No;na;;na;na;na;na;na;perennial;grassland;na;na;na;na;na;;na;grass_land;grass_land;grass_land;grass_land;grass_land;grass_land;;;;;na;NA;na;;;;;na;na;;na;na;na;na;na;;na;na;1998;;British grassland survey;Maria Viketoft;maria.viketoft@slu.se;SLU;R Neilson, B Boag, DJF Brown;Neilson-British_grasslands-Nematodes-1974-1982;Nematodes from permanent pasture and scrubland in the UK;NA;NA;Nematode communities of northern temperate grassland ecosystems (eds. RGM de Goede & T Bongers);literature;;national;sample;No;No;;1974-06-01;1974-06-01;-3.386729;56.0842;113.0;grass_land;field;0;;;;;
1974-06-01-M_GB_Ordnance survey_F-9_B-NA_P-NA;date:1974-06-01T00:00:00:yyyy-MM-dd;M;9;F;NA;B;NA;P;1974-06-01-M_GB_Ordnance survey_F-9_B-NA_P-NA_Data Microfauna;Data Microfauna;GB;ordnance_survey;;;;;150;;;;;;NULL;;;;;Decanting and sieving;;composite sample;;;;;;;;;;na;5.4;;;sandy_clay_loam;;60.0;;20.0;;;;;;;15.0;;;15;;;;;;;;;;No;na;;na;na;na;na;na;perennial;grassland;na;na;na;na;na;;na;grass_land;grass_land;grass_land;grass_land;grass_land;grass_land;;;;;na;NA;na;;;;;na;na;;na;na;na;na;na;;na;na;1998;;British grassland survey;Maria Viketoft;maria.viketoft@slu.se;SLU;R Neilson, B Boag, DJF Brown;Neilson-British_grasslands-Nematodes-1974-1982;Nematodes from permanent pasture and scrubland in the UK;NA;NA;Nematode communities of northern temperate grassland ecosystems (eds. RGM de Goede & T Bongers);literature;;national;sample;No;No;;1974-06-01;1974-06-01;-3.5085268;56.075584;118.0;grass_land;field;0;;;;;
1974-07-01-M_GB_Ordnance survey_F-10_B-NA_P-NA;date:1974-07-01T00:00:00:yyyy-MM-dd;M;10;F;NA;B;NA;P;1974-07-01-M_GB_Ordnance survey_F-10_B-NA_P-NA_Data Microfauna;Data Microfauna;GB;ordnance_survey;;;;;405;;;;;;NULL;;;;;Decanting and sieving;;composite sample;;;;;;;;;;na;;;;loamy_sand;;80.0;;14.0;;;;;;;15.0;;;18;;;;;;;;;;No;na;;na;na;na;na;na;perennial;grassland;na;na;na;na;na;;na;grass_land;grass_land;grass_land;grass_land;grass_land;grass_land;;;;;na;NA;na;;;;;na;na;;na;na;na;na;na;;na;na;1998;;British grassland survey;Maria Viketoft;maria.viketoft@slu.se;SLU;R Neilson, B Boag, DJF Brown;Neilson-British_grasslands-Nematodes-1974-1982;Nematodes from permanent pasture and scrubland in the UK;NA;NA;Nematode communities of northern temperate grassland ecosystems (eds. RGM de Goede & T Bongers);literature;;national;sample;No;No;;1974-07-01;1974-07-01;-2.775084;56.59269;177.0;grass_land;field;0;;;;;
