id_sampling_point;date_sample_collection;precision_date;data_type;id_sample;id_level_1;id_level_2;id_level_3;country_code;main_prog_name;type_of_sample;additional_name;fungi_ace_index;amf_spore_density;fungi_chao1_index;level_1_scale_obs;level_2_scale_obs;level_3_scale_obs;fungi_fisher_alpha;fungi_shannon_index;fungi_simpson_index;fungi_evenness_index;fungi_richness_index;fungi_number_amf_taxon;fungi_index_shan_logbase;mucor_relative_abundance;phoma_relative_abundance;apodus_relative_abundance;amf_phylogenetic_diversity;fungi_evenness_index_method;fungi_inverse_simpson_index;fusarium_relative_abundance;geomyces_relative_abundance;preussia_relative_abundance;rhizopus_relative_abundance;ascobolus_relative_abundance;exophiala_relative_abundance;fungi_phylogenetic_diversity;fusicolla_relative_abundance;paraphoma_relative_abundance;periconia_relative_abundance;podospora_relative_abundance;saitozyma_relative_abundance;acremonium_relative_abundance;alternaria_relative_abundance;chaetomium_relative_abundance;gibberella_relative_abundance;minimedusa_relative_abundance;coprinellus_relative_abundance;coprinopsis_relative_abundance;metarhizium_relative_abundance;mortierella_relative_abundance;sanchytrium_relative_abundance;scutellinia_relative_abundance;stromatinia_relative_abundance;syncephalis_relative_abundance;trichoderma_relative_abundance;cladorrhinum_relative_abundance;cladosporium_relative_abundance;clonostachys_relative_abundance;lophotrichus_relative_abundance;microdochium_relative_abundance;pseudaleuria_relative_abundance;pyrenochaeta_relative_abundance;stachybotrys_relative_abundance;tetracladium_relative_abundance;gibellulopsis_relative_abundance;pseudeurotium_relative_abundance;rhizophlyctis_relative_abundance;schizothecium_relative_abundance;solicoccozyma_relative_abundance;spizellomyces_relative_abundance;trichocladium_relative_abundance;dactylonectria_relative_abundance;leptodontidium_relative_abundance;ophiosphaerella_relative_abundance;ramophialophora_relative_abundance;trichosporiella_relative_abundance;plectosphaerella_relative_abundance;pseudogymnoascus_relative_abundance;pyrenochaetopsis_relative_abundance;pseudoarthrographis_relative_abundance
2011-06-20_D_IT_VC_SOIL_T_Lowland_block_1_P_1;date:2011-06-20T00:00:00:yyyy-MM-dd;D;;VC_SOIL_Lowland_1_1;Lowland;1;1;IT;vc_soil;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;61.4615384615385;T;block;P;18.3021892493389;3.46605545219507;0.049853642266043;0.853615096479001;58;;e;;0;0;;Pielou;20.0587149613566;0.02158273381295;;;;;;;;;;0.007194244604317;;0;0.007194244604317;;0;;;;;0.009592326139089;;;;;0.004796163069544;;;;;0;;;;0.035971223021583;0.002398081534772;0.103117505995204;;;;;;;;;;;;;;
2011-06-20_D_IT_VC_SOIL_T_Lowland_block_1_P_2;date:2011-06-20T00:00:00:yyyy-MM-dd;D;;VC_SOIL_Lowland_1_2;Lowland;1;2;IT;vc_soil;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;98.4615384615385;T;block;P;22.2318068913807;3.69776900847005;0.042766093834825;0.825885824920007;88;;e;;0.000875656742557;0.000875656742557;;Pielou;23.3830100046617;0.016637478108581;;;;;;;;;;0.077933450087566;;0.000875656742557;0.002626970227671;;0;;;;;0.028896672504378;;;;;0.006129597197898;;;;;0;;;;0.028021015761821;0;0.070052539404553;;;;;;;;;;;;;;
2011-06-20_D_IT_VC_SOIL_T_Lowland_block_1_P_3;date:2011-06-20T00:00:00:yyyy-MM-dd;D;;VC_SOIL_Lowland_1_3;Lowland;1;3;IT;vc_soil;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;90.4285714285714;T;block;P;19.9102406946457;3.28668676917276;0.079401974288338;0.78447675800204;66;;e;;0;0;;Pielou;12.5941452837008;0.005681818181818;;;;;;;;;;0.022727272727273;;0;0;;0.001893939393939;;;;;0.028409090909091;;;;;0.011363636363636;;;;;0;;;;0.071969696969697;0;0.047348484848485;;;;;;;;;;;;;;
2011-08-04_D_IT_VC_SOIL_T_Lowland_block_2_P_1;date:2011-08-04T00:00:00:yyyy-MM-dd;D;;VC_SOIL_Lowland_2_1;Lowland;2;1;IT;vc_soil;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;91.5714285714286;T;block;P;24.4042857045503;3.61289206487786;0.047752946354345;0.829270949379257;78;;e;;0.006993006993007;0.026223776223776;;Pielou;20.9411162314388;0.005244755244755;;;;;;;;;;0.027972027972028;;0;0.001748251748252;;0;;;;;0.013986013986014;;;;;0.006993006993007;;;;;0;;;;0.073426573426573;0;0.062937062937063;;;;;;;;;;;;;;
2011-08-04_D_IT_VC_SOIL_T_Lowland_block_2_P_2;date:2011-08-04T00:00:00:yyyy-MM-dd;D;;VC_SOIL_Lowland_2_2;Lowland;2;2;IT;vc_soil;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;102.461538461538;T;block;P;22.0995465281189;3.45510211594939;0.055451804082265;0.781902408938039;83;;e;;0;0;;Pielou;18.0336783726001;0.00216684723727;;;;;;;;;;0.008667388949079;;0.003250270855905;0.00433369447454;;0;;;;;0.010834236186349;;;;;0.006500541711809;;;;;0;;;;0.0465872156013;0;0.042253521126761;;;;;;;;;;;;;;
2011-08-04_D_IT_VC_SOIL_T_Lowland_block_2_P_3;date:2011-08-04T00:00:00:yyyy-MM-dd;D;;VC_SOIL_Lowland_2_3;Lowland;2;3;IT;vc_soil;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;88;T;block;P;19.6375120263327;3.41532823691881;0.063876332697257;0.777191433262443;81;;e;;0.001673640167364;0;;Pielou;15.6552506659943;0.011715481171548;;;;;;;;;;0.010878661087866;;0.000836820083682;0.00836820083682;;0;;;;;0.005857740585774;;;;;0.006694560669456;;;;;0;;;;0.014225941422594;0;0.094560669456067;;;;;;;;;;;;;;
2011-09-07_D_IT_VC_SOIL_T_Lowland_block_3_P_1;date:2011-09-07T00:00:00:yyyy-MM-dd;D;;VC_SOIL_Lowland_3_1;Lowland;3;1;IT;vc_soil;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;94.2307692307692;T;block;P;19.9790034977432;3.53280207196229;0.055356897370771;0.785100333299875;90;;e;;0.01958589815333;0.001678791270285;;Pielou;18.0645962381558;0.008393956351427;;;;;;;;;;0.008393956351427;;0.003357582540571;0.006715165081142;;0.000559597090095;;;;;0.011191941801903;;;;;0.004476776720761;;;;;0;;;;0.013989927252378;0.008393956351427;0.078903189703414;;;;;;;;;;;;;;
2011-09-07_D_IT_VC_SOIL_T_Lowland_block_3_P_2;date:2011-09-07T00:00:00:yyyy-MM-dd;D;;VC_SOIL_Lowland_3_2;Lowland;3;2;IT;vc_soil;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;101.4;T;block;P;24.1052021082199;3.78240337177865;0.041074150473252;0.826807068151891;97;;e;;0.007552870090634;0;;Pielou;24.3462126052054;0.017371601208459;;;;;;;;;;0.032477341389728;;0.00226586102719;0.015861027190332;;0.00226586102719;;;;;0.027190332326284;;;;;0.005287009063444;;;;;0.00226586102719;;;;0.01963746223565;0.000755287009063;0.078549848942598;;;;;;;;;;;;;;
2011-09-07_D_IT_VC_SOIL_T_Lowland_block_3_P_3;date:2011-09-07T00:00:00:yyyy-MM-dd;D;;VC_SOIL_Lowland_3_3;Lowland;3;3;IT;vc_soil;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;112;T;block;P;23.9674518443666;3.41746965979251;0.089104314381762;0.757609421187975;91;;e;;0.006704980842912;0.001915708812261;;Pielou;11.2228011285241;0.016283524904215;;;;;;;;;;0.013409961685824;;0.003831417624521;0.004789272030651;;0;;;;;0.011494252873563;;;;;0.005747126436782;;;;;0.002873563218391;;;;0.029693486590038;0;0.054597701149425;;;;;;;;;;;;;;
2011-06-20_D_IT_VC_ROOT_T_Lowland_block_1_P_1;date:2011-06-20T00:00:00:yyyy-MM-dd;D;;VC_ROOT_Lowland_1_1;Lowland;1;1;IT;vc_root;composite;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;;;67.7692307692308;T;block;P;13.1571765047125;2.52807147037349;0.140395950909254;0.628037415014485;56;;e;;0.008743169398907;0.161748633879781;;Pielou;7.12271253924096;0.073224043715847;;;;;;;;;;0.007650273224044;;0.001092896174863;0.00655737704918;;0;;;;;0;;;;;0;;;;;0;;;;0.001092896174863;0;0.00655737704918;;;;;;;;;;;;;;
