id_sampling_point;date_sample_collection;precision_date;id_sample;id_level_1;level_1_scale_obs;id_level_2;level_2_scale_obs;id_level_3;level_3_scale_obs;country_code;main_prog_name;additional_name;data_type;type_of_sample;taxon;ecological_group;biomass;abundance
2019-01-01-NA_AT_SECBIVIT_F-ACDc1_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACDc1_B-NA_P-1_Data Macrofauna;ACDc1;F;NA;B;1;P;AT;secbivit;;Data Macrofauna;;Lumbricus;NA;;
2019-01-01-NA_AT_SECBIVIT_F-ACDc1_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACDc1_B-NA_P-1_Data Macrofauna;ACDc1;F;NA;B;1;P;AT;secbivit;;Data Macrofauna;;Aporrectodea caliginosa;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACDc1_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACDc1_B-NA_P-2_Data Macrofauna;ACDc1;F;NA;B;2;P;AT;secbivit;;Data Macrofauna;;Lumbricus;NA;;
2019-01-01-NA_AT_SECBIVIT_F-ACDc1_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACDc1_B-NA_P-3_Data Macrofauna;ACDc1;F;NA;B;3;P;AT;secbivit;;Data Macrofauna;;Lumbricus;NA;;
2019-01-01-NA_AT_SECBIVIT_F-ACDc1_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACDc1_B-NA_P-3_Data Macrofauna;ACDc1;F;NA;B;3;P;AT;secbivit;;Data Macrofauna;;Aporrectodea caliginosa;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACDc10_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACDc10_B-NA_P-1_Data Macrofauna;ACDc10;F;NA;B;1;P;AT;secbivit;;Data Macrofauna;;Aporrectodea caliginosa;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACDc10_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACDc10_B-NA_P-2_Data Macrofauna;ACDc10;F;NA;B;2;P;AT;secbivit;;Data Macrofauna;;Aporrectodea rosea;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACDc10_B-NA_P-3;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACDc10_B-NA_P-3_Data Macrofauna;ACDc10;F;NA;B;3;P;AT;secbivit;;Data Macrofauna;;Aporrectodea rosea;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACDc13_B-NA_P-1;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACDc13_B-NA_P-1_Data Macrofauna;ACDc13;F;NA;B;1;P;AT;secbivit;;Data Macrofauna;;Aporrectodea caliginosa;endogeic;;
2019-01-01-NA_AT_SECBIVIT_F-ACDc13_B-NA_P-2;date:2019-01-01T00:00:00:yyyy-MM-dd;NA;2019-01-01-NA_AT_SECBIVIT_F-ACDc13_B-NA_P-2_Data Macrofauna;ACDc13;F;NA;B;2;P;AT;secbivit;;Data Macrofauna;;Lumbricus terrestris;epi-anecic;;
