date_sample_collection;acari_20;data_type;id_sample;other_bfs;ab_araneae;araneae_01;araneae_05;diplura_20;diptera_01;id_level_1;id_level_2;id_level_3;isopoda_10;protura_20;diptera_l10;symphyla_20;ab_chilopoda;ab_diplopoda;chilopoda_10;chilopoda_20;country_code;diplopoda_10;diplopoda_20;hemiptera_01;opiliones_10;pauropoda_20;ab_coleoptera;ab_collembola;coleoptera_01;coleoptera_05;coleoptera_10;coleoptera_15;coleoptera_20;collembola_01;collembola_02;collembola_04;collembola_06;collembola_08;collembola_10;collembola_20;dermaptera_01;embioptera_10;palpigradi_20;psocoptera_01;ab_hymenoptera;coleoptera_l10;hymenoptera_01;hymenoptera_05;main_prog_name;precision_date;pseudoscorp_20;additional_name;hymenoptera_l10;thysanoptera_01;acari_number_taxa;id_sampling_point;level_1_scale_obs;level_2_scale_obs;level_3_scale_obs;list_of_other_bfs;enchytraeus_abundance;enchytreids_r_strategist_abundance;hymenoptera_number_taxa;ab_enchytreids_abundance;mesofauna_number_species;enchytreids_number_species;enchytreids_k_strategist_abundance
date:2022-10-13T00:00:00:yyyy-MM-dd;10700;Data Mesofauna;;0;100;100;0;100;0;E-3;NA;2;100;0;0;100;0;0;0;0;IT;0;0;100;0;0;300;2800;300;0;0;0;0;0;0;0;0;0;2200;100;0;0;0;0;0;200;0;0;qbs_prati;D;0;;0;200;;2022-10-13_D_IT_qbs_prati_F_E-3_NA_NA_P_2;F;NA;P;;;;0;;;;
date:2015-04-01T00:00:00:yyyy-MM-dd;;Data mesofauna;;;;;;;;VD_4;L_soil;1;;;;;;;;;AT;;;;;;;800000;;;;;;;;;;;;;;;;;;;;;vinedivers;M;;;;;;2015-04-01_M_AT_VineDivers_T_VD_4_block_L_soil_P_1;T;block;P;;;;;;;;
date:2020-06-10T00:00:00:yyyy-MM-dd;7400;;;0;13;0;0;13;0;IT_Braccesca_Biochar;C;NA;0;33;67;47;33;0;0;0;IT;0;0;287;13;20;287;16600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;933;287;0;0;private_vineyard_farm_collaboration;D;0;;0;60;;2020-06-10_D_IT_Private vineyard farm collaboration_T_IT_Braccesca_Biochar_block_C_NA_NA;T;block;NA;;;;0;;;;
date:2020-06-10T00:00:00:yyyy-MM-dd;8200;;;0;7;0;0;40;0;IT_Braccesca_Biochar;B;NA;20;0;120;133;7;0;0;0;IT;0;0;927;0;60;207;22200;0;0;0;0;0;0;0;0;0;0;0;0;0;327;0;0;1660;113;0;0;private_vineyard_farm_collaboration;D;0;;0;7;;2020-06-10_D_IT_Private vineyard farm collaboration_T_IT_Braccesca_Biochar_block_B_NA_NA;T;block;NA;;;;0;;;;
date:2020-06-10T00:00:00:yyyy-MM-dd;9100;;;0;5;0;0;55;0;IT_Braccesca_Biochar;BB;NA;0;0;173;60;27;0;0;0;IT;0;0;193;13;13;220;31100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3593;193;0;0;private_vineyard_farm_collaboration;D;0;;0;27;;2020-06-10_D_IT_Private vineyard farm collaboration_T_IT_Braccesca_Biochar_block_BB_NA_NA;T;block;NA;;;;0;;;;
date:2012-09-10T00:00:00:yyyy-MM-dd;1600;;;300;0;0;0;0;0;Caorle_4;NA;1;0;0;0;200;100;0;100;0;IT;0;0;0;0;0;100;2500;0;100;0;0;0;0;0;0;500;0;1200;800;0;0;0;0;0;600;0;0;monaco;D;0;;0;0;;2012-09-10_D_IT_MONACO_F_Caorle_4_NA_NA_P_1;F;NA;P;other holometabola;;;0;;;;
date:2012-09-10T00:00:00:yyyy-MM-dd;700;;;400;0;0;0;100;0;Caorle_4;NA;2;0;0;0;100;0;0;0;0;IT;0;0;100;0;0;200;200;0;200;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;monaco;D;0;;0;0;;2012-09-10_D_IT_MONACO_F_Caorle_4_NA_NA_P_2;F;NA;P;other holometabola;;;0;;;;
date:2012-09-10T00:00:00:yyyy-MM-dd;2800;;;1500;0;0;0;0;0;Caorle_4;NA;3;0;0;0;100;0;0;0;0;IT;0;0;0;0;0;0;1200;0;0;0;0;0;0;0;0;600;0;400;200;0;0;0;0;0;0;0;0;monaco;D;0;;0;0;;2012-09-10_D_IT_MONACO_F_Caorle_4_NA_NA_P_3;F;NA;P;other holometabola;;;0;;;;
date:2012-09-26T00:00:00:yyyy-MM-dd;600;;;500;0;0;0;0;0;Metaponto_4;NA;1;0;0;0;0;0;0;0;0;IT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;100;0;0;monaco;D;0;;0;0;;2012-09-26_D_IT_MONACO_F_Metaponto_4_NA_NA_P_1;F;NA;P;other holometabola;;;0;;;;
date:2012-09-26T00:00:00:yyyy-MM-dd;0;;;300;0;0;0;0;0;Metaponto_4;NA;2;0;0;0;0;0;0;0;0;IT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;100;0;0;100;monaco;D;0;;0;0;;2012-09-26_D_IT_MONACO_F_Metaponto_4_NA_NA_P_2;F;NA;P;other holometabola;;;1;;;;
date:2012-09-26T00:00:00:yyyy-MM-dd;100;;;800;0;0;0;0;0;Metaponto_4;NA;3;0;0;0;0;0;0;0;0;IT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;0;0;0;0;monaco;D;0;;0;0;;2012-09-26_D_IT_MONACO_F_Metaponto_4_NA_NA_P_3;F;NA;P;other holometabola;;;0;;;;
date:2012-10-04T00:00:00:yyyy-MM-dd;4100;;;500;0;0;0;1100;0;Fagna_4;NA;3;0;0;0;400;300;0;300;0;IT;0;0;100;0;0;0;4000;0;0;0;0;0;0;0;0;0;400;1800;1800;0;0;0;0;0;100;0;0;monaco;D;0;;0;0;;2012-10-04_D_IT_MONACO_F_Fagna_4_NA_NA_P_3;F;NA;P;other holometabola;;;0;;;;
date:2012-10-04T00:00:00:yyyy-MM-dd;1300;;;100;0;0;0;100;0;Fagna_4;NA;1;0;0;0;100;0;0;0;0;IT;0;0;0;0;0;100;300;100;0;0;0;0;0;0;0;0;100;100;100;0;0;0;0;0;100;0;0;monaco;D;0;;0;0;;2012-10-04_D_IT_MONACO_F_Fagna_4_NA_NA_P_1;F;NA;P;other holometabola;;;0;;;;
date:2012-10-04T00:00:00:yyyy-MM-dd;10000;;;500;0;0;0;400;0;Fagna_4;NA;2;0;0;0;200;0;100;0;0;IT;0;100;0;0;0;300;700;0;300;0;0;0;0;0;0;0;100;400;200;0;0;0;0;100;0;100;0;monaco;D;0;;0;0;;2012-10-04_D_IT_MONACO_F_Fagna_4_NA_NA_P_2;F;NA;P;other holometabola;;;1;;;;
date:2013-05-09T00:00:00:yyyy-MM-dd;2600;;;1500;100;100;0;0;0;Metaponto_4;NA;1;0;0;0;0;0;300;0;0;IT;0;300;400;0;0;400;1400;300;100;0;0;0;0;200;400;0;200;400;200;0;0;0;0;0;0;0;0;monaco;D;0;;0;0;;2013-05-09_D_IT_MONACO_F_Metaponto_4_NA_NA_P_1;F;NA;P;other holometabola;;;0;;;;
date:2013-05-09T00:00:00:yyyy-MM-dd;12500;;;800;0;0;0;500;0;Metaponto_4;NA;2;0;0;0;0;0;0;0;0;IT;0;0;100;0;0;200;5300;200;0;0;0;0;1400;200;600;1100;800;900;300;0;0;0;600;300;1100;300;0;monaco;D;0;;0;100;;2013-05-09_D_IT_MONACO_F_Metaponto_4_NA_NA_P_2;F;NA;P;other holometabola;;;1;;;;
date:2013-05-09T00:00:00:yyyy-MM-dd;12000;;;1200;0;0;0;1200;0;Metaponto_4;NA;3;0;0;0;0;0;100;0;0;IT;0;100;0;0;0;300;19800;0;300;0;0;0;2100;4000;4000;2000;3000;4000;700;0;0;0;0;0;2800;0;0;monaco;D;0;;0;200;;2013-05-09_D_IT_MONACO_F_Metaponto_4_NA_NA_P_3;F;NA;P;other holometabola;;;0;;;;
date:2013-06-05T00:00:00:yyyy-MM-dd;1100;;;800;0;0;0;0;0;Caorle_4;NA;1;0;0;0;0;0;100;0;0;IT;0;100;100;0;0;0;700;0;0;0;0;0;500;0;100;0;0;0;100;0;0;0;0;0;300;0;0;monaco;D;0;;0;0;;2013-06-05_D_IT_MONACO_F_Caorle_4_NA_NA_P_1;F;NA;P;other holometabola;;;0;;;;
date:2013-06-05T00:00:00:yyyy-MM-dd;1100;;;1300;0;0;0;0;0;Caorle_4;NA;2;0;0;0;200;0;0;0;0;IT;0;0;0;0;100;300;1400;0;200;100;0;0;300;100;300;400;200;100;0;0;0;0;0;0;0;0;0;monaco;D;0;;0;0;;2013-06-05_D_IT_MONACO_F_Caorle_4_NA_NA_P_2;F;NA;P;other holometabola;;;0;;;;
