ci;ei;mi;mi2-5;data_type;id_sample;ab_unident;id_level_1;id_level_2;id_level_3;nematods_si;ab_omnivores;ab_predators;country_code;ab_fungivores;ab_herbivores;main_prog_name;precision_date;ab_bacterivores;additional_name;id_sampling_point;level_1_scale_obs;level_2_scale_obs;level_3_scale_obs;total_nem_biomass;ab_Total_nematodes;date_sample_collection;nematode_family_richness;nematode_genera_richness
15.78;70.37;1.91;NULL;Data Microfauna;2015-04-14_M_BE_Herren2020_T_C0_312_0_Block_3_Data Microfauna;;C0_312_0;3;;41.17;7;19;BE;56;168;herren2020;M;168;;2015-04-14_M_BE_Herren2020_T_C0_312_0_Block_3;T;Block;;;419;NULL;;15
9.74;64.88;1.82;NULL;Data Microfauna;2015-04-14_M_BE_Herren2020_T_C1_313_200_Block_3_Data Microfauna;;C1_313_200;3;;22.71;3;6;BE;22;146;herren2020;M;162;;2015-04-14_M_BE_Herren2020_T_C1_313_200_Block_3;T;Block;;;340;NULL;;21
5.88;82.63;1.54;NULL;Data Microfauna;2015-04-14_M_BE_Herren2020_T_C0_314_200_Block_1_Data Microfauna;;C0_314_200;1;;19.74;0;7;BE;31;140;herren2020;M;209;;2015-04-14_M_BE_Herren2020_T_C0_314_200_Block_1;T;Block;;;387;NULL;;19
16.2;58.26;1.85;NULL;Data Microfauna;2015-04-14_M_BE_Herren2020_T_C0_111_200_Block_1_Data Microfauna;;C0_111_200;1;;17.16;4;0;BE;27;207;herren2020;M;127;;2015-04-14_M_BE_Herren2020_T_C0_111_200_Block_1;T;Block;;;364;NULL;;14
11.5;65.7;2.12;NULL;Data Microfauna;2015-04-14_M_BE_Herren2020_T_C1_112_200_Block_1_Data Microfauna;;C1_112_200;1;;55.87;1;31;BE;21;115;herren2020;M;124;;2015-04-14_M_BE_Herren2020_T_C1_112_200_Block_1;T;Block;;;292;NULL;;26
100;21.25;2.08;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-T10_B-NA_P-1_Data Microfauna;0;T10;NA;1;13.99;17;0;SE;25;510;bizon;D;391;;2018-08-19-D_SE_BiZon_F-T10_B-NA_P-1;F;B;P;;943;NULL;;18
78.95;45.24;2.27;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-T10_B-NA_P-2_Data Microfauna;0;T10;NA;2;42.38;80;34;SE;172;641;bizon;D;320;;2018-08-19-D_SE_BiZon_F-T10_B-NA_P-2;F;B;P;;1247;NULL;;25
69.81;45.37;2.24;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-T10_B-NA_P-3_Data Microfauna;0;T10;NA;3;42.28;55;27;SE;64;474;bizon;D;290;;2018-08-19-D_SE_BiZon_F-T10_B-NA_P-3;F;B;P;;910;NULL;;25
20;51.22;1.89;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-T10_B-NA_P-4_Data Microfauna;0;T10;NA;4;12.85;36;18;SE;135;818;bizon;D;1688;;2018-08-19-D_SE_BiZon_F-T10_B-NA_P-4;F;B;P;;2695;NULL;;23
67.82;46.77;1.94;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-T10_B-NA_P-5_Data Microfauna;0;T10;NA;5;1.6;8;0;SE;638;694;bizon;D;882;;2018-08-19-D_SE_BiZon_F-T10_B-NA_P-5;F;B;P;;2222;NULL;;19
41.94;53.91;2.14;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-T10_B-NA_P-6_Data Microfauna;0;T10;NA;6;41.92;71;35;SE;94;625;bizon;D;425;;2018-08-19-D_SE_BiZon_F-T10_B-NA_P-6;F;B;P;;1250;NULL;;21
77.14;47.75;2.08;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-T10_B-NA_P-7_Data Microfauna;0;T10;NA;7;22.44;26;24;SE;228;660;bizon;D;331;;2018-08-19-D_SE_BiZon_F-T10_B-NA_P-7;F;B;P;;1270;NULL;;21
61.34;49.31;2.16;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-T10_B-NA_P-8_Data Microfauna;0;T10;NA;8;37.16;33;40;SE;154;691;bizon;D;329;;2018-08-19-D_SE_BiZon_F-T10_B-NA_P-8;F;B;P;;1247;NULL;;25
23.08;46.02;1.87;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-T10_B-NA_P-9_Data Microfauna;0;T10;NA;9;3.56;0;0;SE;74;133;bizon;D;437;;2018-08-19-D_SE_BiZon_F-T10_B-NA_P-9;F;B;P;;644;NULL;;14
23.2;63.59;1.84;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-T10_B-NA_P-10_Data Microfauna;0;T10;NA;10;18.27;39;13;SE;183;431;bizon;D;883;;2018-08-19-D_SE_BiZon_F-T10_B-NA_P-10;F;B;P;;1550;NULL;;21
23.2;69.44;1.87;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-T11_B-NA_P-1_Data Microfauna;0;T11;NA;1;32.31;30;15;SE;52;230;bizon;D;372;;2018-08-19-D_SE_BiZon_F-T11_B-NA_P-1;F;B;P;;699;NULL;;17
57.65;54.14;2.05;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-T11_B-NA_P-2_Data Microfauna;0;T11;NA;2;26.72;52;26;SE;78;823;bizon;D;418;;2018-08-19-D_SE_BiZon_F-T11_B-NA_P-2;F;B;P;;1398;NULL;;19
29.41;66.93;1.89;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-T11_B-NA_P-3_Data Microfauna;22;T11;NA;3;27.59;22;7;SE;116;102;bizon;D;233;;2018-08-19-D_SE_BiZon_F-T11_B-NA_P-3;F;B;P;;502;NULL;;19
53.25;54.61;1.95;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-T11_B-NA_P-4_Data Microfauna;0;T11;NA;4;13.8;8;8;SE;99;419;bizon;D;252;;2018-08-19-D_SE_BiZon_F-T11_B-NA_P-4;F;B;P;;785;NULL;;19
21.09;73.13;1.76;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-T11_B-NA_P-5_Data Microfauna;0;T11;NA;5;22.86;8;23;SE;54;299;bizon;D;399;;2018-08-19-D_SE_BiZon_F-T11_B-NA_P-5;F;B;P;;783;NULL;;20
85.45;50.93;2.41;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-T11_B-NA_P-6_Data Microfauna;0;T11;NA;6;53.54;11;138;SE;85;824;bizon;D;92;;2018-08-19-D_SE_BiZon_F-T11_B-NA_P-6;F;B;P;;1150;NULL;;16
50;59.7;2.16;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-T11_B-NA_P-7_Data Microfauna;0;T11;NA;7;45.18;50;50;SE;70;669;bizon;D;240;;2018-08-19-D_SE_BiZon_F-T11_B-NA_P-7;F;B;P;;1079;NULL;;23
68.42;48.74;2.15;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-T11_B-NA_P-8_Data Microfauna;8;T11;NA;8;33.63;33;41;SE;187;301;bizon;D;276;;2018-08-19-D_SE_BiZon_F-T11_B-NA_P-8;F;B;P;;846;NULL;;21
63.64;34.38;2.48;NULL;Data Microfauna;2018-08-19-D_SE_BiZon_F-T11_B-NA_P-9_Data Microfauna;0;T11;NA;9;59.02;15;37;SE;7;59;bizon;D;111;;2018-08-19-D_SE_BiZon_F-T11_B-NA_P-9;F;B;P;;230;NULL;;12
