data_type;id_sample;id_level_1;id_level_2;id_level_3;fauna_taxon;country_code;higher_taxon;main_prog_name;precision_date;additional_name;fauna_abundance;fauna_occurrence;id_sampling_point;level_1_scale_obs;level_2_scale_obs;level_3_scale_obs;date_sample_collection;fauna_unit_of_abundance
Data mesofauna;;lusignan_C;1;2;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;anr_soilwarm;Y;;1018;1;2022-01-01_Y_FR_ANR_SOILWARM_T_lusignan_C_block_1_P_2;T;block;P;NULL;n/m2
Data mesofauna;;lusignan_C;2;2;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;anr_soilwarm;Y;;509;1;2022-01-01_Y_FR_ANR_SOILWARM_T_lusignan_C_block_2_P_2;T;block;P;NULL;n/m2
Data mesofauna;;lusignan_G;1;2;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;anr_soilwarm;Y;;3054;1;2022-01-01_Y_FR_ANR_SOILWARM_T_lusignan_G_block_1_P_2;T;block;P;NULL;n/m2
Data mesofauna;;lusignan_G;2;1;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;anr_soilwarm;Y;;509;1;2022-01-01_Y_FR_ANR_SOILWARM_T_lusignan_G_block_2_P_1;T;block;P;NULL;n/m2
Data mesofauna;;lusignan_G;2;2;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;anr_soilwarm;Y;;1018;1;2022-01-01_Y_FR_ANR_SOILWARM_T_lusignan_G_block_2_P_2;T;block;P;NULL;n/m2
Data mesofauna;;lusignan_G;2;3;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;anr_soilwarm;Y;;509;1;2022-01-01_Y_FR_ANR_SOILWARM_T_lusignan_G_block_2_P_3;T;block;P;NULL;n/m2
Data mesofauna;;lusignan_G;3;1;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;anr_soilwarm;Y;;1527;1;2022-01-01_Y_FR_ANR_SOILWARM_T_lusignan_G_block_3_P_1;T;block;P;NULL;n/m2
Data mesofauna;;lusignan_G;3;2;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;anr_soilwarm;Y;;509;1;2022-01-01_Y_FR_ANR_SOILWARM_T_lusignan_G_block_3_P_2;T;block;P;NULL;n/m2
Data mesofauna;;lusignan_G;1;2;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;anr_soilwarm;Y;;7126;1;2023-01-01_Y_FR_ANR_SOILWARM_T_lusignan_G_block_1_P_2;T;block;P;NULL;n/m2
Data mesofauna;;lusignan_G;1;2;Enchytronia christenseni D�zsa-Farkas, 1970;FR;Enchytraeida;anr_soilwarm;Y;;2545;1;2023-01-01_Y_FR_ANR_SOILWARM_T_lusignan_G_block_1_P_2;T;block;P;NULL;n/m2
Data mesofauna;;lusignan_G;1;3;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;anr_soilwarm;Y;;509;1;2023-01-01_Y_FR_ANR_SOILWARM_T_lusignan_G_block_1_P_3;T;block;P;NULL;n/m2
Data mesofauna;;lusignan_G;2;1;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;anr_soilwarm;Y;;8144;1;2023-01-01_Y_FR_ANR_SOILWARM_T_lusignan_G_block_2_P_1;T;block;P;NULL;n/m2
Data mesofauna;;lusignan_G;3;1;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;anr_soilwarm;Y;;509;1;2023-01-01_Y_FR_ANR_SOILWARM_T_lusignan_G_block_3_P_1;T;block;P;NULL;n/m2
Data mesofauna;;buchelay_f;NA;2;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;1529.28;1;2021-01-01_Y_FR_OFB_DYNABIO_T_buchelay_f_NA_NA_P_2;T;NA;P;NULL;n/m2
Data mesofauna;;buchelay_f;NA;3;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;509.76;1;2021-01-01_Y_FR_OFB_DYNABIO_T_buchelay_f_NA_NA_P_3;T;NA;P;NULL;n/m2
Data mesofauna;;buchelay_c;NA;1;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;2548.8;1;2021-01-01_Y_FR_OFB_DYNABIO_T_buchelay_c_NA_NA_P_1;T;NA;P;NULL;n/m2
Data mesofauna;;buchelay_c;NA;1;Enchytraeus christenseni D�zsa-Farkas, 1992;FR;Enchytraeida;ofb_dynabio;Y;;509.76;1;2021-01-01_Y_FR_OFB_DYNABIO_T_buchelay_c_NA_NA_P_1;T;NA;P;NULL;n/m2
Data mesofauna;;buchelay_c;NA;2;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;1529.28;1;2021-01-01_Y_FR_OFB_DYNABIO_T_buchelay_c_NA_NA_P_2;T;NA;P;NULL;n/m2
Data mesofauna;;buchelay_c;NA;3;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;4587.84;1;2021-01-01_Y_FR_OFB_DYNABIO_T_buchelay_c_NA_NA_P_3;T;NA;P;NULL;n/m2
Data mesofauna;;chateliers_f;NA;1;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;4587.84;1;2021-01-01_Y_FR_OFB_DYNABIO_T_chateliers_f_NA_NA_P_1;T;NA;P;NULL;n/m2
Data mesofauna;;chateliers_f;NA;2;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;2548.8;1;2021-01-01_Y_FR_OFB_DYNABIO_T_chateliers_f_NA_NA_P_2;T;NA;P;NULL;n/m2
Data mesofauna;;chateliers_f;NA;3;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;1529.28;1;2021-01-01_Y_FR_OFB_DYNABIO_T_chateliers_f_NA_NA_P_3;T;NA;P;NULL;n/m2
Data mesofauna;;chateliers_c;NA;3;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;509.76;1;2021-01-01_Y_FR_OFB_DYNABIO_T_chateliers_c_NA_NA_P_3;T;NA;P;NULL;n/m2
Data mesofauna;;gas_f;NA;1;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;7136.64;1;2021-01-01_Y_FR_OFB_DYNABIO_T_gas_f_NA_NA_P_1;T;NA;P;NULL;n/m2
Data mesofauna;;gas_f;NA;1;Enchytraeus christenseni D�zsa-Farkas, 1992;FR;Enchytraeida;ofb_dynabio;Y;;1019.52;1;2021-01-01_Y_FR_OFB_DYNABIO_T_gas_f_NA_NA_P_1;T;NA;P;NULL;n/m2
Data mesofauna;;gas_f;NA;2;Enchytraeus buchholzi Vejdovsk�, 1878;FR;Enchytraeida;ofb_dynabio;Y;;11214.72;1;2021-01-01_Y_FR_OFB_DYNABIO_T_gas_f_NA_NA_P_2;T;NA;P;NULL;n/m2
