id_sampling_point;date_sample_collection;precision_date;country_code;main_prog_name;additional_name;level_1_scale_obs;id_level_1;level_2_scale_obs;id_level_2;level_3_scale_obs;id_level_3;id_sample;data_type;type_of_sample;fungi_soil_subsample_mass;fungi_sampl_method;fungi_sampling_methodo_iso;fungi_methodology_class;fungi_molecular_marker;fungi_sequencing_type;fungi_sequencing_platform;fungi_sequencing_length;fungi_taxon_annotation_plat_db;fungi_taxon_annotation_database_or_pipeline;fungi_picking_scope;fungi_amf_morphological_analysis;fungi_amf_morphological_analysis_method
2011-09-07_D_IT_VC_ROOT_T_Upland_block_3_P_2;date:2011-09-07T00:00:00:yyyy-MM-dd;D;IT;vc_root;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;T;Upland;block;3;P;2;VC_ROOT_upland_3_2;;composite;;na;;sequencing;ITS1F /ITS4  (ITS) AMADF/ AMDGR ( V3–V4  SSU rRNA);targeted;454_pyrosequencing;GREATERTHANSIGN300_bp;unite; QIIME (Quantitative Insights Into Microbial Ecology) v1.8.0 (Caporaso et al. 2010).;otu;;
2011-09-07_D_IT_VC_ROOT_T_Upland_block_3_P_3;date:2011-09-07T00:00:00:yyyy-MM-dd;D;IT;vc_root;CREA-RIS_Research Centre for Cereal and Industrial Crops in Vercelli, Italy;T;Upland;block;3;P;3;VC_ROOT_upland_3_3;;composite;;na;;sequencing;ITS1F /ITS4  (ITS) AMADF/ AMDGR ( V3–V4  SSU rRNA);targeted;454_pyrosequencing;GREATERTHANSIGN300_bp;unite; QIIME (Quantitative Insights Into Microbial Ecology) v1.8.0 (Caporaso et al. 2010).;otu;;
2016-11-06_D_IT_SaintChristophe_MO_T_SC_control_NA_P_1;date:2016-11-06T00:00:00:yyyy-MM-dd;D;IT;saintchristophe_mo;SaffronAlp cultivated soil Project;T;SC;control;NA;P;1;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2016-11-06_D_IT_SaintChristophe_MO_T_SC_control_NA_P_2;date:2016-11-06T00:00:00:yyyy-MM-dd;D;IT;saintchristophe_mo;SaffronAlp cultivated soil Project;T;SC;control;NA;P;2;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2016-11-06_D_IT_SaintChristophe_MO_T_SC_control_NA_P_3;date:2016-11-06T00:00:00:yyyy-MM-dd;D;IT;saintchristophe_mo;SaffronAlp cultivated soil Project;T;SC;control;NA;P;3;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2016-11-06_D_IT_SaintChristophe_MO_T_SC_AMF_M_Mix species_NA_P_1;date:2016-11-06T00:00:00:yyyy-MM-dd;D;IT;saintchristophe_mo;SaffronAlp cultivated soil Project;T;SC;AMF_M_Mix species;NA;P;1;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2016-11-06_D_IT_SaintChristophe_MO_T_SC_AMF_M_Mix species_NA_P_2;date:2016-11-06T00:00:00:yyyy-MM-dd;D;IT;saintchristophe_mo;SaffronAlp cultivated soil Project;T;SC;AMF_M_Mix species;NA;P;2;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2016-11-06_D_IT_SaintChristophe_MO_T_SC_AMF_M_Mix species_NA_P_3;date:2016-11-06T00:00:00:yyyy-MM-dd;D;IT;saintchristophe_mo;SaffronAlp cultivated soil Project;T;SC;AMF_M_Mix species;NA;P;3;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2016-11-06_D_IT_SaintChristophe_MO_T_SC_AMF_R_Monospecies_NA_P_1;date:2016-11-06T00:00:00:yyyy-MM-dd;D;IT;saintchristophe_mo;SaffronAlp cultivated soil Project;T;SC;AMF_R_Monospecies;NA;P;1;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
2016-11-06_D_IT_SaintChristophe_MO_T_SC_AMF_R_Monospecies_NA_P_2;date:2016-11-06T00:00:00:yyyy-MM-dd;D;IT;saintchristophe_mo;SaffronAlp cultivated soil Project;T;SC;AMF_R_Monospecies;NA;P;2;;;composite;;soil_core;;sequencing;ITS2;target;illumina;250_bp;unite;QIME2;otu;No;
