id_sampling_point;date_sample_collect;precision_date;id_level_1;level_1_scale_obs;id_level_2;level_2_scale_obs;id_level_3;level_3_scale_obs;country_code;main_prog_name;additional_name;data_type;id_sample;macrof_sampl_obs_meth;macrofauna_nb_samples;macrofauna_extract_duration;macrofauna_sampling_met_iso;macrof_sampled_each_subsample;macrofauna_exposit_time_traps
2012-10-01-M_SI_EcoFINDERS_T-LMO_C1_B-NA_P-NA;date:2012-10-01T00:00:00:yyyy-MM-dd;M;LMO_C1;T;NA;B;NA;P;SI;ecofinders;;Metadata Macrofauna;2012-10-01-M_SI_EcoFINDERS_T-LMO_C1_B-NA_P-NA_Metadata Macrofauna;na;1225.0;;Combination of several sampling techniques;;ISO 23611-1
2012-10-01-M_SI_EcoFINDERS_T-LMO_C2_B-NA_P-NA;date:2012-10-01T00:00:00:yyyy-MM-dd;M;LMO_C2;T;NA;B;NA;P;SI;ecofinders;;Metadata Macrofauna;2012-10-01-M_SI_EcoFINDERS_T-LMO_C2_B-NA_P-NA_Metadata Macrofauna;na;1225.0;;Combination of several sampling techniques;;ISO 23611-1
2022-10-01-M_SE_SLU2_T-ST-NF_B-1_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-NF;T;1;B;NA;P;SE;slu2;MINOTAUR;Metadata Macrofauna;2022-10-01-M_SE_SLU2_T-ST-NF_B-1_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2022-10-01-M_SE_SLU2_T-ST-NF_B-2_P-NA;date:2022-10-01T00:00:00:yyyy-MM-dd;M;ST-NF;T;2;B;NA;P;SE;slu2;MINOTAUR;Metadata Macrofauna;2022-10-01-M_SE_SLU2_T-ST-NF_B-2_P-NA_Metadata Macrofauna;combination_of_several_sampling_techniques;3.0;30;;400.0;
2012-10-01-M_SI_EcoFINDERS_T-LMO_C3_B-NA_P-NA;date:2012-10-01T00:00:00:yyyy-MM-dd;M;LMO_C3;T;NA;B;NA;P;SI;ecofinders;;Metadata Macrofauna;2012-10-01-M_SI_EcoFINDERS_T-LMO_C3_B-NA_P-NA_Metadata Macrofauna;na;1225.0;;Combination of several sampling techniques;;ISO 23611-1
2013-10-01-M_SI_EcoFINDERS_T-LMO_C1_B-NA_P-NA;date:2013-10-01T00:00:00:yyyy-MM-dd;M;LMO_C1;T;NA;B;NA;P;SI;ecofinders;;Metadata Macrofauna;2013-10-01-M_SI_EcoFINDERS_T-LMO_C1_B-NA_P-NA_Metadata Macrofauna;na;1225.0;;Combination of several sampling techniques;;ISO 23611-1
2013-10-01-M_SI_EcoFINDERS_T-LMO_C2_B-NA_P-NA;date:2013-10-01T00:00:00:yyyy-MM-dd;M;LMO_C2;T;NA;B;NA;P;SI;ecofinders;;Metadata Macrofauna;2013-10-01-M_SI_EcoFINDERS_T-LMO_C2_B-NA_P-NA_Metadata Macrofauna;na;1225.0;;Combination of several sampling techniques;;ISO 23611-1
2013-10-01-M_SI_EcoFINDERS_T-LMO_C3_B-NA_P-NA;date:2013-10-01T00:00:00:yyyy-MM-dd;M;LMO_C3;T;NA;B;NA;P;SI;ecofinders;;Metadata Macrofauna;2013-10-01-M_SI_EcoFINDERS_T-LMO_C3_B-NA_P-NA_Metadata Macrofauna;na;1225.0;;Combination of several sampling techniques;;ISO 23611-1
2012-10-01-M_SI_EcoFINDERS_T-LMO_T1_B-NA_P-NA;date:2012-10-01T00:00:00:yyyy-MM-dd;M;LMO_T1;T;NA;B;NA;P;SI;ecofinders;;Metadata Macrofauna;2012-10-01-M_SI_EcoFINDERS_T-LMO_T1_B-NA_P-NA_Metadata Macrofauna;na;1225.0;;Combination of several sampling techniques;;ISO 23611-1
2012-10-01-M_SI_EcoFINDERS_T-LMO_T2_B-NA_P-NA;date:2012-10-01T00:00:00:yyyy-MM-dd;M;LMO_T2;T;NA;B;NA;P;SI;ecofinders;;Metadata Macrofauna;2012-10-01-M_SI_EcoFINDERS_T-LMO_T2_B-NA_P-NA_Metadata Macrofauna;na;1225.0;;Combination of several sampling techniques;;ISO 23611-1
