extraction_method;date_sample_collect;precision_date;id_level_1;id_level_2;id_level_3;level_1_scale_obs;level_2_scale_obs;level_3_scale_obs;main_prog_name;additional_name;data_type;id_sample;type_data;assay_scope;country_code;sampling_method;id_sampling_point;sampling_reference;extraction_duration;extraction_mesh_size;extraction_reference;extraction_soil_weight;sampled_area_for_each_subsample
Berlese-Tullgren;date:2020-06-10T00:00:00:yyyy-MM-dd;D;IT_Braccesca_Biochar;C;NA;T;block;NA;private_vineyard_farm_collaboration;;;;abundance data;the entire community;IT;;2020-06-10_D_IT_Private vineyard farm collaboration_T_IT_Braccesca_Biochar_block_C_NA_NA;;240;2;https://zenodo.org/record/7778672;;
Berlese-Tullgren;date:2020-06-10T00:00:00:yyyy-MM-dd;D;IT_Braccesca_Biochar;B;NA;T;block;NA;private_vineyard_farm_collaboration;;;;abundance data;the entire community;IT;;2020-06-10_D_IT_Private vineyard farm collaboration_T_IT_Braccesca_Biochar_block_B_NA_NA;;240;2;https://zenodo.org/record/7778672;;
Berlese-Tullgren;date:2020-06-10T00:00:00:yyyy-MM-dd;D;IT_Braccesca_Biochar;BB;NA;T;block;NA;private_vineyard_farm_collaboration;;;;abundance data;the entire community;IT;;2020-06-10_D_IT_Private vineyard farm collaboration_T_IT_Braccesca_Biochar_block_BB_NA_NA;;240;2;https://zenodo.org/record/7778672;;
Berlese-Tullgren;date:2012-09-10T00:00:00:yyyy-MM-dd;D;Caorle_4;NA;1;F;NA;P;monaco;;;;abundance data;the entire community;IT;;2012-09-10_D_IT_MONACO_F_Caorle_4_NA_NA_P_1;;;;;;
Berlese-Tullgren;date:2012-09-10T00:00:00:yyyy-MM-dd;D;Caorle_4;NA;2;F;NA;P;monaco;;;;abundance data;the entire community;IT;;2012-09-10_D_IT_MONACO_F_Caorle_4_NA_NA_P_2;;;;;;
Berlese-Tullgren;date:2012-09-10T00:00:00:yyyy-MM-dd;D;Caorle_4;NA;3;F;NA;P;monaco;;;;abundance data;the entire community;IT;;2012-09-10_D_IT_MONACO_F_Caorle_4_NA_NA_P_3;;;;;;
Berlese-Tullgren;date:2012-09-26T00:00:00:yyyy-MM-dd;D;Metaponto_4;NA;1;F;NA;P;monaco;;;;abundance data;the entire community;IT;;2012-09-26_D_IT_MONACO_F_Metaponto_4_NA_NA_P_1;;;;;;
Berlese-Tullgren;date:2012-09-26T00:00:00:yyyy-MM-dd;D;Metaponto_4;NA;2;F;NA;P;monaco;;;;abundance data;the entire community;IT;;2012-09-26_D_IT_MONACO_F_Metaponto_4_NA_NA_P_2;;;;;;
Berlese-Tullgren;date:2012-09-26T00:00:00:yyyy-MM-dd;D;Metaponto_4;NA;3;F;NA;P;monaco;;;;abundance data;the entire community;IT;;2012-09-26_D_IT_MONACO_F_Metaponto_4_NA_NA_P_3;;;;;;
Berlese-Tullgren;date:2012-10-04T00:00:00:yyyy-MM-dd;D;Fagna_4;NA;3;F;NA;P;monaco;;;;abundance data;the entire community;IT;;2012-10-04_D_IT_MONACO_F_Fagna_4_NA_NA_P_3;;;;;;
Berlese-Tullgren;date:2012-10-04T00:00:00:yyyy-MM-dd;D;Fagna_4;NA;1;F;NA;P;monaco;;;;abundance data;the entire community;IT;;2012-10-04_D_IT_MONACO_F_Fagna_4_NA_NA_P_1;;;;;;
Berlese-Tullgren;date:2012-10-04T00:00:00:yyyy-MM-dd;D;Fagna_4;NA;2;F;NA;P;monaco;;;;abundance data;the entire community;IT;;2012-10-04_D_IT_MONACO_F_Fagna_4_NA_NA_P_2;;;;;;
Berlese-Tullgren;date:2013-05-09T00:00:00:yyyy-MM-dd;D;Metaponto_4;NA;1;F;NA;P;monaco;;;;abundance data;the entire community;IT;;2013-05-09_D_IT_MONACO_F_Metaponto_4_NA_NA_P_1;;;;;;
Berlese-Tullgren;date:2013-05-09T00:00:00:yyyy-MM-dd;D;Metaponto_4;NA;2;F;NA;P;monaco;;;;abundance data;the entire community;IT;;2013-05-09_D_IT_MONACO_F_Metaponto_4_NA_NA_P_2;;;;;;
Berlese-Tullgren;date:2013-05-09T00:00:00:yyyy-MM-dd;D;Metaponto_4;NA;3;F;NA;P;monaco;;;;abundance data;the entire community;IT;;2013-05-09_D_IT_MONACO_F_Metaponto_4_NA_NA_P_3;;;;;;
Berlese-Tullgren;date:2013-06-05T00:00:00:yyyy-MM-dd;D;Caorle_4;NA;1;F;NA;P;monaco;;;;abundance data;the entire community;IT;;2013-06-05_D_IT_MONACO_F_Caorle_4_NA_NA_P_1;;;;;;
Berlese-Tullgren;date:2013-06-05T00:00:00:yyyy-MM-dd;D;Caorle_4;NA;2;F;NA;P;monaco;;;;abundance data;the entire community;IT;;2013-06-05_D_IT_MONACO_F_Caorle_4_NA_NA_P_2;;;;;;
Berlese-Tullgren;date:2013-06-05T00:00:00:yyyy-MM-dd;D;Caorle_4;NA;3;F;NA;P;monaco;;;;abundance data;the entire community;IT;;2013-06-05_D_IT_MONACO_F_Caorle_4_NA_NA_P_3;;;;;;
Berlese-Tullgren;date:2013-06-10T00:00:00:yyyy-MM-dd;D;Fagna_4;NA;1;F;NA;P;monaco;;;;abundance data;the entire community;IT;;2013-06-10_D_IT_MONACO_F_Fagna_4_NA_NA_P_1;;;;;;
Berlese-Tullgren;date:2013-06-10T00:00:00:yyyy-MM-dd;D;Fagna_4;NA;2;F;NA;P;monaco;;;;abundance data;the entire community;IT;;2013-06-10_D_IT_MONACO_F_Fagna_4_NA_NA_P_2;;;;;;
Berlese-Tullgren;date:2013-06-10T00:00:00:yyyy-MM-dd;D;Fagna_4;NA;3;F;NA;P;monaco;;;;abundance data;the entire community;IT;;2013-06-10_D_IT_MONACO_F_Fagna_4_NA_NA_P_3;;;;;;
Berlese-Tullgren;date:2001-10-08T00:00:00:yyyy-MM-dd;D;Stuard;NA;1;F;NA;P;na;;;;presence/absence data;the entire community;IT;;2001-10-08_D_IT_NA_F_Stuard_NA_NA_P_1;;;;;;
Berlese-Tullgren;date:2001-10-08T00:00:00:yyyy-MM-dd;D;Stuard;NA;2;F;NA;P;na;;;;presence/absence data;the entire community;IT;;2001-10-08_D_IT_NA_F_Stuard_NA_NA_P_2;;;;;;
Berlese-Tullgren;date:2001-10-08T00:00:00:yyyy-MM-dd;D;Stuard;NA;3;F;NA;P;na;;;;presence/absence data;the entire community;IT;;2001-10-08_D_IT_NA_F_Stuard_NA_NA_P_3;;;;;;
Berlese-Tullgren;date:2003-04-16T00:00:00:yyyy-MM-dd;D;cesa;NA;NA;F;NA;NA;na;;;;presence/absence data;the entire community;IT;;2003-04-16_D_IT_NA_F_cesa_NA_NA_NA_NA;;;;;;
Berlese-Tullgren;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT_ACQUAESOLE_1;NA;1;F;NA;P;acquaAMPERSANDsole;;;;presence/absence data;the entire community;IT;;2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_1_NA_NA_P_1;;;2;;;
Berlese-Tullgren;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT_ACQUAESOLE_1;NA;2;F;NA;P;acquaAMPERSANDsole;;;;presence/absence data;the entire community;IT;;2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_1_NA_NA_P_2;;;2;;;
Berlese-Tullgren;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT_ACQUAESOLE_1;NA;3;F;NA;P;acquaAMPERSANDsole;;;;presence/absence data;the entire community;IT;;2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_1_NA_NA_P_3;;;2;;;
Berlese-Tullgren;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT_ACQUAESOLE_2;NA;1;F;NA;P;acquaAMPERSANDsole;;;;presence/absence data;the entire community;IT;;2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_2_NA_NA_P_1;;;2;;;
Berlese-Tullgren;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT_ACQUAESOLE_2;NA;2;F;NA;P;acquaAMPERSANDsole;;;;presence/absence data;the entire community;IT;;2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_2_NA_NA_P_2;;;2;;;
Berlese-Tullgren;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT_ACQUAESOLE_2;NA;3;F;NA;P;acquaAMPERSANDsole;;;;presence/absence data;the entire community;IT;;2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_2_NA_NA_P_3;;;2;;;
Berlese-Tullgren;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT_ACQUAESOLE_3;NA;1;F;NA;P;acquaAMPERSANDsole;;;;presence/absence data;the entire community;IT;;2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_3_NA_NA_P_1;;;2;;;
Berlese-Tullgren;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT_ACQUAESOLE_3;NA;2;F;NA;P;acquaAMPERSANDsole;;;;presence/absence data;the entire community;IT;;2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_3_NA_NA_P_2;;;2;;;
Berlese-Tullgren;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT_ACQUAESOLE_3;NA;3;F;NA;P;acquaAMPERSANDsole;;;;presence/absence data;the entire community;IT;;2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_3_NA_NA_P_3;;;2;;;
