id_sampling_point;date_sample_collect;precision_date;id_level_1;id_level_2;id_level_3;level_1_scale_obs;level_2_scale_obs;level_3_scale_obs;country_code;main_prog_name;additional_name;data_type;id_sample;microfauna_extraction_method;microfauna_sampling_methodology_iso;microfauna_sampling_observation_method;asmicrofauna_sampled_area_for_each_subsample
2015-04-14_M_BE_Herren2020_T_C0_244_0_Block_2;date:2015-04-14T00:00:00:yyyy-MM-dd;M;C0_244_0;2;;T;Block;;BE;herren2020;;Metadata Microfauna;2015-04-14_M_BE_Herren2020_T_C0_244_0_Block_2_Metadata Microfauna;Baermann funnel;;corer;
2015-04-14_M_BE_Herren2020_T_C1_245_200_Block_2;date:2015-04-14T00:00:00:yyyy-MM-dd;M;C1_245_200;2;;T;Block;;BE;herren2020;;Metadata Microfauna;2015-04-14_M_BE_Herren2020_T_C1_245_200_Block_2_Metadata Microfauna;Baermann funnel;;corer;
2015-04-14_M_BE_Herren2020_T_C0_246_200_Block_3;date:2015-04-14T00:00:00:yyyy-MM-dd;M;C0_246_200;3;;T;Block;;BE;herren2020;;Metadata Microfauna;2015-04-14_M_BE_Herren2020_T_C0_246_200_Block_3_Metadata Microfauna;Baermann funnel;;corer;
2015-04-14_M_BE_Herren2020_T_C1_311_0_Block_3;date:2015-04-14T00:00:00:yyyy-MM-dd;M;C1_311_0;3;;T;Block;;BE;herren2020;;Metadata Microfauna;2015-04-14_M_BE_Herren2020_T_C1_311_0_Block_3_Metadata Microfauna;Baermann funnel;;corer;
2015-11-14_M_BE_Herren2020_T_C0_312_0_Block_3;date:2015-11-14T00:00:00:yyyy-MM-dd;M;C0_312_0;3;;T;Block;;BE;herren2020;;Metadata Microfauna;2015-11-14_M_BE_Herren2020_T_C0_312_0_Block_3_Metadata Microfauna;Baermann funnel;;corer;
2015-11-14_M_BE_Herren2020_T_C1_313_200_Block_3;date:2015-11-14T00:00:00:yyyy-MM-dd;M;C1_313_200;3;;T;Block;;BE;herren2020;;Metadata Microfauna;2015-11-14_M_BE_Herren2020_T_C1_313_200_Block_3_Metadata Microfauna;Baermann funnel;;corer;
2015-11-14_M_BE_Herren2020_T_C0_314_200_Block_1;date:2015-11-14T00:00:00:yyyy-MM-dd;M;C0_314_200;1;;T;Block;;BE;herren2020;;Metadata Microfauna;2015-11-14_M_BE_Herren2020_T_C0_314_200_Block_1_Metadata Microfauna;Baermann funnel;;corer;
2015-11-14_M_BE_Herren2020_T_C0_111_200_Block_1;date:2015-11-14T00:00:00:yyyy-MM-dd;M;C0_111_200;1;;T;Block;;BE;herren2020;;Metadata Microfauna;2015-11-14_M_BE_Herren2020_T_C0_111_200_Block_1_Metadata Microfauna;Baermann funnel;;corer;
2015-11-14_M_BE_Herren2020_T_C1_112_200_Block_1;date:2015-11-14T00:00:00:yyyy-MM-dd;M;C1_112_200;1;;T;Block;;BE;herren2020;;Metadata Microfauna;2015-11-14_M_BE_Herren2020_T_C1_112_200_Block_1_Metadata Microfauna;Baermann funnel;;corer;
2015-11-14_M_BE_Herren2020_T_C0_113_0_Block_1;date:2015-11-14T00:00:00:yyyy-MM-dd;M;C0_113_0;1;;T;Block;;BE;herren2020;;Metadata Microfauna;2015-11-14_M_BE_Herren2020_T_C0_113_0_Block_1_Metadata Microfauna;Baermann funnel;;corer;
2015-11-14_M_BE_Herren2020_T_C1_114_0_Block_2;date:2015-11-14T00:00:00:yyyy-MM-dd;M;C1_114_0;2;;T;Block;;BE;herren2020;;Metadata Microfauna;2015-11-14_M_BE_Herren2020_T_C1_114_0_Block_2_Metadata Microfauna;Baermann funnel;;corer;
2015-11-14_M_BE_Herren2020_T_C1_243_0_Block_2;date:2015-11-14T00:00:00:yyyy-MM-dd;M;C1_243_0;2;;T;Block;;BE;herren2020;;Metadata Microfauna;2015-11-14_M_BE_Herren2020_T_C1_243_0_Block_2_Metadata Microfauna;Baermann funnel;;corer;
2015-11-14_M_BE_Herren2020_T_C0_244_0_Block_2;date:2015-11-14T00:00:00:yyyy-MM-dd;M;C0_244_0;2;;T;Block;;BE;herren2020;;Metadata Microfauna;2015-11-14_M_BE_Herren2020_T_C0_244_0_Block_2_Metadata Microfauna;Baermann funnel;;corer;
2015-11-14_M_BE_Herren2020_T_C1_245_200_Block_2;date:2015-11-14T00:00:00:yyyy-MM-dd;M;C1_245_200;2;;T;Block;;BE;herren2020;;Metadata Microfauna;2015-11-14_M_BE_Herren2020_T_C1_245_200_Block_2_Metadata Microfauna;Baermann funnel;;corer;
2015-11-14_M_BE_Herren2020_T_C0_246_200_Block_3;date:2015-11-14T00:00:00:yyyy-MM-dd;M;C0_246_200;3;;T;Block;;BE;herren2020;;Metadata Microfauna;2015-11-14_M_BE_Herren2020_T_C0_246_200_Block_3_Metadata Microfauna;Baermann funnel;;corer;
2015-11-14_M_BE_Herren2020_T_C1_311_0_Block_3;date:2015-11-14T00:00:00:yyyy-MM-dd;M;C1_311_0;3;;T;Block;;BE;herren2020;;Metadata Microfauna;2015-11-14_M_BE_Herren2020_T_C1_311_0_Block_3_Metadata Microfauna;Baermann funnel;;corer;
2016-04-14_M_BE_Herren2020_T_C0_312_0_Block_3;date:2016-04-14T00:00:00:yyyy-MM-dd;M;C0_312_0;3;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-04-14_M_BE_Herren2020_T_C0_312_0_Block_3_Metadata Microfauna;Baermann funnel;;corer;
2016-04-14_M_BE_Herren2020_T_C1_313_200_Block_3;date:2016-04-14T00:00:00:yyyy-MM-dd;M;C1_313_200;3;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-04-14_M_BE_Herren2020_T_C1_313_200_Block_3_Metadata Microfauna;Baermann funnel;;corer;
2016-04-14_M_BE_Herren2020_T_C0_314_200_Block_1;date:2016-04-14T00:00:00:yyyy-MM-dd;M;C0_314_200;1;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-04-14_M_BE_Herren2020_T_C0_314_200_Block_1_Metadata Microfauna;Baermann funnel;;corer;
2016-04-14_M_BE_Herren2020_T_C0_111_200_Block_1;date:2016-04-14T00:00:00:yyyy-MM-dd;M;C0_111_200;1;;T;Block;;BE;herren2020;;Metadata Microfauna;2016-04-14_M_BE_Herren2020_T_C0_111_200_Block_1_Metadata Microfauna;Baermann funnel;;corer;
