id_sampling_point;date_sample_collection;precision_date;country_code;programme_name;additional_name;level_1_of_scale_observation;id_level_1_scale_observation;level_2_of_scale_observation_block_or_no;iid_level_2_scale_observation;level_3_of_scale_observation;id_level_3;id_sample;data_type;date_soil_sampling_for_chemical_analysis;type_of_the_sample;soil_type_wrb;wrb_version;soil_taxonomy_version;soil_type_in_soil_taxonomy;name_local_soil_classification;soil_type_in_a_local_classification;ph_method;ph_mean;cec_mean;caco3;texture;texture_triangle;sand;sand_limit;silt;silt_limit;clay_limit;bottom_depth_of_top_layer;carbon_azote_ratio_mean;soc_mean;som_mean;soil_sample_depth;bulk_density;soil_analysis_sample_mass;soil_humidity;soil_total_depth;phosphorus_total;phosphorus_available;potassium_available;nitrogen;organic_carbon
2020-06-10_D_IT_Private vineyard farm collaboration_T_IT_Braccesca_Biochar_block_C_NA_NA;date:2020-06-10T00:00:00:yyyy-MM-dd;D;IT;private_vineyard_farm_collaboration;;T;IT_Braccesca_Biochar;block;C;NA;NA;;;;;na;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-06-10_D_IT_Private vineyard farm collaboration_T_IT_Braccesca_Biochar_block_B_NA_NA;date:2020-06-10T00:00:00:yyyy-MM-dd;D;IT;private_vineyard_farm_collaboration;;T;IT_Braccesca_Biochar;block;B;NA;NA;;;;;na;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-06-10_D_IT_Private vineyard farm collaboration_T_IT_Braccesca_Biochar_block_BB_NA_NA;date:2020-06-10T00:00:00:yyyy-MM-dd;D;IT;private_vineyard_farm_collaboration;;T;IT_Braccesca_Biochar;block;BB;NA;NA;;;;;na;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-09-10_D_IT_MONACO_F_Caorle_4_NA_NA_P_1;date:2012-09-10T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Caorle_4;NA;NA;P;1;;;;;na;;;;;;;;;;;;19.5;;63.4;;;;;;;;;;;;;;;;
2012-09-10_D_IT_MONACO_F_Caorle_4_NA_NA_P_2;date:2012-09-10T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Caorle_4;NA;NA;P;2;;;;;na;;;;;;;;;;;;19.5;;63.4;;;;;;;;;;;;;;;;
2012-09-10_D_IT_MONACO_F_Caorle_4_NA_NA_P_3;date:2012-09-10T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Caorle_4;NA;NA;P;3;;;;;na;;;;;;;;;;;;19.5;;63.4;;;;;;;;;;;;;;;;
2012-09-26_D_IT_MONACO_F_Metaponto_4_NA_NA_P_1;date:2012-09-26T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Metaponto_4;NA;NA;P;1;;;;;na;;;;;;;8.65;;;;;12.8;;41.4;;;;;;;;;;;;;;;;
2012-09-26_D_IT_MONACO_F_Metaponto_4_NA_NA_P_2;date:2012-09-26T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Metaponto_4;NA;NA;P;2;;;;;na;;;;;;;8.65;;;;;12.8;;41.4;;;;;;;;;;;;;;;;
2012-09-26_D_IT_MONACO_F_Metaponto_4_NA_NA_P_3;date:2012-09-26T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Metaponto_4;NA;NA;P;3;;;;;na;;;;;;;8.65;;;;;12.8;;41.4;;;;;;;;;;;;;;;;
2012-10-04_D_IT_MONACO_F_Fagna_4_NA_NA_P_3;date:2012-10-04T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Fagna_4;NA;NA;P;3;;;;;na;;;;;;;8.18;;;;;14.8;;34.1;;;;;;;;;;;;;;;;
