id_sampling_point;date_sample_collect;precision_date;country_code;main_prog_name;additional_name;level_1_scale_obs;id_level_1;level_2_scale_obs;id_level_2;level_3_scale_obs;id_level_3;id_sample;data_type;date_start_experiment;date_end_experiment;longitude;latitude;altitude;study_landuse;experimental_type;total_experiment_duration;experiment_duration_mean;mean_temperature_of_the_day;source_of_climate_data;year_precipitation;air_humidity
2012-09-10_D_IT_MONACO_F_Caorle_4_NA_NA_P_1;date:2012-09-10T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Caorle_4;NA;NA;P;1;;;;;12.969525;45.630894;1.0;arable_land;;;;;;;
2012-09-10_D_IT_MONACO_F_Caorle_4_NA_NA_P_2;date:2012-09-10T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Caorle_4;NA;NA;P;2;;;;;12.969525;45.630894;1.0;arable_land;;;;;;;
2012-09-10_D_IT_MONACO_F_Caorle_4_NA_NA_P_3;date:2012-09-10T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Caorle_4;NA;NA;P;3;;;;;12.969525;45.630894;1.0;arable_land;;;;;;;
2012-09-26_D_IT_MONACO_F_Metaponto_4_NA_NA_P_1;date:2012-09-26T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Metaponto_4;NA;NA;P;1;;;;;16.794468;40.386703;4.0;arable_land;;;;;;;
2012-09-26_D_IT_MONACO_F_Metaponto_4_NA_NA_P_2;date:2012-09-26T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Metaponto_4;NA;NA;P;2;;;;;16.794468;40.386703;4.0;arable_land;;;;;;;
2012-09-26_D_IT_MONACO_F_Metaponto_4_NA_NA_P_3;date:2012-09-26T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Metaponto_4;NA;NA;P;3;;;;;16.794468;40.386703;4.0;arable_land;;;;;;;
2012-10-04_D_IT_MONACO_F_Fagna_4_NA_NA_P_3;date:2012-10-04T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Fagna_4;NA;NA;P;3;;;;;11.350319;43.98147;253.0;arable_land;;;;;;;
2012-10-04_D_IT_MONACO_F_Fagna_4_NA_NA_P_1;date:2012-10-04T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Fagna_4;NA;NA;P;1;;;;;11.350319;43.98147;253.0;arable_land;;;;;;;
2012-10-04_D_IT_MONACO_F_Fagna_4_NA_NA_P_2;date:2012-10-04T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Fagna_4;NA;NA;P;2;;;;;11.350319;43.98147;253.0;arable_land;;;;;;;
2013-05-09_D_IT_MONACO_F_Metaponto_4_NA_NA_P_1;date:2013-05-09T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Metaponto_4;NA;NA;P;1;;;;;12.969525;45.630894;1.0;arable_land;;;;;;;
2013-05-09_D_IT_MONACO_F_Metaponto_4_NA_NA_P_2;date:2013-05-09T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Metaponto_4;NA;NA;P;2;;;;;12.969525;45.630894;1.0;arable_land;;;;;;;
2013-05-09_D_IT_MONACO_F_Metaponto_4_NA_NA_P_3;date:2013-05-09T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Metaponto_4;NA;NA;P;3;;;;;12.969525;45.630894;1.0;arable_land;;;;;;;
2013-06-05_D_IT_MONACO_F_Caorle_4_NA_NA_P_1;date:2013-06-05T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Caorle_4;NA;NA;P;1;;;;;16.794468;40.386703;4.0;arable_land;;;;;;;
2013-06-05_D_IT_MONACO_F_Caorle_4_NA_NA_P_2;date:2013-06-05T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Caorle_4;NA;NA;P;2;;;;;16.794468;40.386703;4.0;arable_land;;;;;;;
2013-06-05_D_IT_MONACO_F_Caorle_4_NA_NA_P_3;date:2013-06-05T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Caorle_4;NA;NA;P;3;;;;;16.794468;40.386703;4.0;arable_land;;;;;;;
2013-06-10_D_IT_MONACO_F_Fagna_4_NA_NA_P_1;date:2013-06-10T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Fagna_4;NA;NA;P;1;;;;;11.350319;43.98147;253.0;arable_land;;;;;;;
2013-06-10_D_IT_MONACO_F_Fagna_4_NA_NA_P_2;date:2013-06-10T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Fagna_4;NA;NA;P;2;;;;;11.350319;43.98147;253.0;arable_land;;;;;;;
2013-06-10_D_IT_MONACO_F_Fagna_4_NA_NA_P_3;date:2013-06-10T00:00:00:yyyy-MM-dd;D;IT;monaco;;F;Fagna_4;NA;NA;P;3;;;;;11.350319;43.98147;253.0;arable_land;;;;;;;
2001-10-08_D_IT_NA_F_Stuard_NA_NA_P_1;date:2001-10-08T00:00:00:yyyy-MM-dd;D;IT;na;;F;Stuard;NA;NA;P;1;;;;;10.275665;44.80753;43.0;arable_land;;;;;;;
2001-10-08_D_IT_NA_F_Stuard_NA_NA_P_2;date:2001-10-08T00:00:00:yyyy-MM-dd;D;IT;na;;F;Stuard;NA;NA;P;2;;;;;10.275665;44.80753;43.0;arable_land;;;;;;;
2001-10-08_D_IT_NA_F_Stuard_NA_NA_P_3;date:2001-10-08T00:00:00:yyyy-MM-dd;D;IT;na;;F;Stuard;NA;NA;P;3;;;;;10.275665;44.80753;43.0;arable_land;;;;;;;
2003-04-16_D_IT_NA_F_cesa_NA_NA_NA_NA;date:2003-04-16T00:00:00:yyyy-MM-dd;D;IT;na;;F;cesa;NA;NA;NA;NA;;;;;11.823364;43.311207;246.0;arable_land;;;;;;;
2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_1_NA_NA_P_1;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_1;NA;NA;P;1;;;;;9.105709;45.298332;;arable_land;;;;;;;
2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_1_NA_NA_P_2;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_1;NA;NA;P;2;;;;;9.105709;45.298332;;arable_land;;;;;;;
2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_1_NA_NA_P_3;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_1;NA;NA;P;3;;;;;9.105709;45.298332;;arable_land;;;;;;;
2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_2_NA_NA_P_1;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_2;NA;NA;P;1;;;;;9.101863;45.295532;;arable_land;;;;;;;
2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_2_NA_NA_P_2;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_2;NA;NA;P;2;;;;;9.101863;45.295532;;arable_land;;;;;;;
2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_2_NA_NA_P_3;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_2;NA;NA;P;3;;;;;9.101863;45.295532;;arable_land;;;;;;;
2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_3_NA_NA_P_1;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_3;NA;NA;P;1;;;;;9.092932;45.300938;;arable_land;;;;;;;
2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_3_NA_NA_P_2;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_3;NA;NA;P;2;;;;;9.092932;45.300938;;arable_land;;;;;;;
2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_3_NA_NA_P_3;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_3;NA;NA;P;3;;;;;9.092932;45.300938;;arable_land;;;;;;;
2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_4_NA_NA_P_1;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_4;NA;NA;P;1;;;;;9.085784;45.303005;;arable_land;;;;;;;
2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_4_NA_NA_P_2;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_4;NA;NA;P;2;;;;;9.085784;45.303005;;arable_land;;;;;;;
2018-10-22_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_4_NA_NA_P_3;date:2018-10-22T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_4;NA;NA;P;3;;;;;9.085784;45.303005;;arable_land;;;;;;;
2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_1_NA_NA_P_1;date:2018-04-26T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_1;NA;NA;P;1;;;;;9.105709;45.298332;;arable_land;;;;;;;
2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_1_NA_NA_P_2;date:2018-04-26T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_1;NA;NA;P;2;;;;;9.105709;45.298332;;arable_land;;;;;;;
2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_1_NA_NA_P_3;date:2018-04-26T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_1;NA;NA;P;3;;;;;9.105709;45.298332;;arable_land;;;;;;;
2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_2_NA_NA_P_1;date:2018-04-26T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_2;NA;NA;P;1;;;;;9.101863;45.295532;;arable_land;;;;;;;
2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_2_NA_NA_P_2;date:2018-04-26T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_2;NA;NA;P;2;;;;;9.101863;45.295532;;arable_land;;;;;;;
2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_2_NA_NA_P_3;date:2018-04-26T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_2;NA;NA;P;3;;;;;9.101863;45.295532;;arable_land;;;;;;;
2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_3_NA_NA_P_1;date:2018-04-26T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_3;NA;NA;P;1;;;;;9.092932;45.300938;;arable_land;;;;;;;
2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_3_NA_NA_P_2;date:2018-04-26T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_3;NA;NA;P;2;;;;;9.092932;45.300938;;arable_land;;;;;;;
2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_3_NA_NA_P_3;date:2018-04-26T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_3;NA;NA;P;3;;;;;9.092932;45.300938;;arable_land;;;;;;;
2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_4_NA_NA_P_1;date:2018-04-26T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_4;NA;NA;P;1;;;;;9.085784;45.303005;;arable_land;;;;;;;
2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_4_NA_NA_P_2;date:2018-04-26T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_4;NA;NA;P;2;;;;;9.085784;45.303005;;arable_land;;;;;;;
2018-04-26_D_IT_ACQUA&SOLE_F_IT_ACQUAESOLE_4_NA_NA_P_3;date:2018-04-26T00:00:00:yyyy-MM-dd;D;IT;acquaAMPERSANDsole;;F;IT_ACQUAESOLE_4;NA;NA;P;3;;;;;9.085784;45.303005;;arable_land;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_LOV_1_NA_NA_P_1;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_1;NA;NA;P;1;;;;;8.95359;45.41799;;grass_land;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_LOV_1_NA_NA_P_2;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_1;NA;NA;P;2;;;;;8.95359;45.41799;;grass_land;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_LOV_1_NA_NA_P_3;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_1;NA;NA;P;3;;;;;8.95359;45.41799;;grass_land;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_LOV_2_NA_NA_P_1;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_2;NA;NA;P;1;;;;;8.954813;45.416405;;arable_land;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_LOV_2_NA_NA_P_2;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_2;NA;NA;P;2;;;;;8.954813;45.416405;;arable_land;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_LOV_2_NA_NA_P_3;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_2;NA;NA;P;3;;;;;8.954813;45.416405;;arable_land;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_LOV_3_NA_NA_P_1;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_3;NA;NA;P;1;;;;;8.955773;45.41894;;arable_land;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_LOV_3_NA_NA_P_2;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_3;NA;NA;P;2;;;;;8.955773;45.41894;;arable_land;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_LOV_3_NA_NA_P_3;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_3;NA;NA;P;3;;;;;8.955773;45.41894;;arable_land;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_LOV_4_NA_NA_P_1;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_4;NA;NA;P;1;;;;;8.948499;45.414932;;arable_land;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_LOV_4_NA_NA_P_2;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_4;NA;NA;P;2;;;;;8.948499;45.414932;;arable_land;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_LOV_4_NA_NA_P_3;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;LOV_4;NA;NA;P;3;;;;;8.948499;45.414932;;arable_land;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_PED_1_NA_NA_P_1;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;PED_1;NA;NA;P;1;;;;;9.12729;45.20497;;arable_land;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_PED_1_NA_NA_P_2;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;PED_1;NA;NA;P;2;;;;;9.12729;45.20497;;arable_land;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_PED_1_NA_NA_P_3;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;PED_1;NA;NA;P;3;;;;;9.12729;45.20497;;arable_land;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_PED_2_NA_NA_P_1;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;PED_2;NA;NA;P;1;;;;;9.1238575;45.209736;;arable_land;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_PED_2_NA_NA_P_2;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;PED_2;NA;NA;P;2;;;;;9.1238575;45.209736;;arable_land;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_PED_2_NA_NA_P_3;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;PED_2;NA;NA;P;3;;;;;9.1238575;45.209736;;arable_land;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_PED_3_NA_NA_P_1;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;PED_3;NA;NA;P;1;;;;;9.113083;45.207954;;arable_land;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_PED_3_NA_NA_P_2;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;PED_3;NA;NA;P;2;;;;;9.113083;45.207954;;arable_land;;;;;;;
2019-09-20_D_IT_SOIL4LIFE_F_PED_3_NA_NA_P_3;date:2019-09-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;PED_3;NA;NA;P;3;;;;;9.113083;45.207954;;arable_land;;;;;;;
2020-10-20_D_IT_SOIL4LIFE_F_PED_4_NA_NA_P_1;date:2020-10-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;PED_4;NA;NA;P;1;;;;;9.112384;45.20732;;arable_land;;;;;;;
2020-10-20_D_IT_SOIL4LIFE_F_PED_4_NA_NA_P_2;date:2020-10-20T00:00:00:yyyy-MM-dd;D;IT;soil4life;;F;PED_4;NA;NA;P;2;;;;;9.112384;45.20732;;arable_land;;;;;;;
